# Calculated from slews 2024-11-29T21:12:00.000 - 2024-11-29T21:55:00.000
ID,X,Y,Z
0,0.0,0.0,-24739.03171629859
1,0.0,-143984.88330674925,-27872.68557137197
2,0.0,-61334.40822883262,-26709.56728133857
3,0.0,-874279.4990364502,-27746.597223977602
4,0.0,101029.00727111907,-20692.697054084452
5,0.0,0.0,-19987.547162488132
6,0.0,0.0,-29859.568328068028
7,0.0,-255258.69607158756,-31969.332268470265
8,0.0,-304609.27829041885,-30203.081687193426
9,0.0,105729.0627205311,-32751.836054649135
10,0.0,-136793.79846914884,-29395.93223257052
11,442647.10151946987,0.0,-25228.618593596922
12,0.0,-267525.84079455497,-66381.15808410324
13,0.0,-311964.8650687487,-34538.31950751965
14,0.0,-311400.8584148193,-35979.86861631495
15,0.0,-302400.25222919433,-36613.04578039578
16,0.0,-321999.4834532439,-33258.90930288745
17,0.0,52829.938637394036,-28299.811363597004
18,0.0,0.0,-11675.06446419327
19,0.0,-266350.8269322015,-46114.27617426136
20,0.0,-122247.12685321676,-43735.473013452414
21,0.0,-211078.17484711163,-42729.553716180366
22,0.0,-513926.24773000024,-42538.90505335695
23,0.0,-769538.7633462927,-39682.00035986166
24,0.0,0.0,-25224.830099653052
25,0.0,-227951.37391050172,-99732.60167071946
26,0.0,11680.953177788164,-48872.64676370534
27,510468.9016544905,0.0,-56175.16269531918
28,0.0,279560.61351704923,-50284.74549502314
29,0.0,557333.8905773225,-39151.29983065139
30,0.0,0.0,-33311.85400787924
31,0.0,-738236.3940532054,-67371.17228256226
32,0.0,494353.14755519707,-64731.78165596219
33,0.0,-772899.3029926225,-48535.66415372239
34,1111441.4916936073,0.0,-58925.24305734586
35,0.0,0.0,-36322.21858358746
36,0.0,896701.3943021446,-72352.99307213172
37,0.0,-964520.5636651651,-67558.87709235252
38,0.0,0.0,-36976.761222556815
39,0.0,0.0,-57603.35225259882
40,0.0,0.0,-70510.6509673439
41,0.0,0.0,-60461.18526717376
42,0.0,0.0,-26417.33458085356
43,0.0,0.0,-34093.80524213436
44,0.0,-262661.28340441285,-44649.951253584055
45,0.0,-216812.24249539434,-52168.7549792156
46,0.0,-610817.8908196366,-70575.92126573621
47,0.0,-406341.9784929501,-79667.44192447356
48,442858.6040146934,0.0,-90682.50910587404
49,0.0,-216436.2380594419,-43000.124360218455
50,0.0,-223392.32012457133,-54206.72596368127
51,0.0,-197448.01404381584,-67040.6704344498
52,0.0,-172302.71738945914,-75282.56438230378
53,0.0,-537826.0296902624,-80862.80961598465
54,0.0,0.0,-40411.740710882244
55,0.0,-197401.01348932163,-51797.91602674062
56,0.0,-315748.4097055258,-58516.4207147873
57,0.0,-274857.9272956378,-68653.7014269815
58,0.0,-16260.876468967472,-82537.74088150985
59,0.0,257916.85817250563,-93332.61194456577
60,0.0,0.0,-74504.83711397552
61,0.0,-451791.51468876796,-59277.94768255405
62,446595.14809697587,0.0,-80424.0341654151
63,0.0,-850356.2167989393,-85238.18134902157
64,0.0,-1066817.2705216268,-79658.3091154006
65,0.0,0.0,-81862.07156381544
66,0.0,84367.31070295193,-74716.20727160329
67,0.0,-1436970.1374401012,-84044.85152548595
68,0.0,371752.2011572721,-73522.12529528036
69,1182130.32565277,0.0,-105605.60862756813
70,0.0,0.0,-74534.46841707113
71,0.0,-1430930.5661876078,-75978.90178167225
72,0.0,819009.4777233555,-83284.74700148574
73,0.0,0.0,-52850.26785336624
74,0.0,0.0,-92136.80689864638
75,0.0,0.0,-76175.64404852448
76,0.0,0.0,-76313.35054892185
