# Calculated from slews 2024-11-12T23:30:00.000 - 2024-11-13T00:30:00.000
# Updated with slews 2024-11-23T18:07:00.000 - 2024-11-23T18:29:00.000
# Updated with slews 2024-11-28T21:18:00.000 - 2024-11-28T21:30:00.000
ID,X,Y,Z
0,0.0,0.0,-18932.69997290941
1,0.0,144056.06472222134,51997.38330200594
2,0.0,236621.31731251627,-42340.944279012736
3,0.0,-1124978.2603476346,-84209.27529497049
4,0.0,-1451764.5891975013,31879.999886694364
5,0.0,0.0,235433.95819275826
6,0.0,0.0,57079.09010979347
7,0.0,144056.06472222134,84896.44782584721
8,0.0,237105.08051329106,87478.58211513143
9,0.0,-961591.5644780174,89422.07331365105
10,0.0,-1288364.9562174566,66578.573659566
11,808014.9101070389,0.0,132100.3157288935
12,0.0,144056.06472222134,-94950.77192151174
13,0.0,144056.06472222134,-23213.33717092313
14,0.0,237105.08051329106,101320.1645812262
15,0.0,-797708.1682964974,234943.42581399996
16,0.0,-1124978.2603476346,152191.19464772195
17,0.0,-1521771.52266971,-42350.894137459574
18,0.0,0.0,397577.7427297048
19,0.0,237105.08051329106,-174905.09515235247
20,0.0,237105.08051329106,-35308.26975958096
21,0.0,-634320.9811439104,219319.97836010344
22,0.0,-961095.027927455,222840.9968863726
23,0.0,-1358371.8896896946,-118627.64133864839
24,0.0,0.0,-429377.83307453827
25,0.0,237105.08051329106,-160159.1826743856
26,0.0,237105.08051329106,-144448.63730564062
27,808014.9101070389,0.0,36176.508789477055
28,0.0,-797708.1682964974,121216.83299373554
29,0.0,-1194985.1938198507,-98590.30215288536
30,0.0,0.0,-524440.8669175124
31,0.0,237105.08051329106,-128873.0477532912
32,0.0,237105.08051329106,-101271.81021420207
33,0.0,-634320.9811439104,-103088.33908697934
34,808014.9101070389,0.0,-215716.0514059831
35,0.0,0.0,-318156.5890097986
36,0.0,237105.08051329106,-69781.61669419985
37,0.0,237105.08051329106,-102610.41365248803
38,0.0,0.0,-178316.39897455368
39,0.0,0.0,-430567.21216339985
40,0.0,0.0,51751.39039981179
41,0.0,0.0,-67106.9348178953
42,0.0,0.0,90683.90442276525
43,0.0,0.0,-247923.60653142465
44,0.0,144056.06472222134,-209740.83773515467
45,0.0,237105.08051329106,-242299.03503340078
46,0.0,1435803.668887522,-233893.51946579383
