Actuator,ZLow,ZHigh,YLow,YHigh,XLow,XHigh
101,-2261,2261,-,-,-,-
102,-1000,2000,-700,1900,-,-
103,-1000,2000,-1106,2653,-,-
104,-1000,2000,-1106,2653,-,-
105,-1000,2000,-1106,2653,-,-
106,-2261,2261,-,-,-,-
107,-2261,2261,-,-,-,-
108,-1000,2000,-1106,2653,-,-
109,-1000,2000,-1106,2653,-,-
110,-1000,2000,-1106,2653,-,-
111,-1000,2000,-1106,2653,-,-
112,-1250,2200,-,-,-750,750
113,-1200,2000,-500,2000,-,-
114,-1000,2000,-1106,2653,-,-
115,-1000,2000,-1106,2653,-,-
116,-1000,2000,-1106,2653,-,-
117,-1000,2000,-1106,2653,-,-
118,-750,2000,-475,1900,-,-
119,-1330,1330,-,-,-,-
120,-1000,2000,-1106,2653,-,-
121,-1000,2000,-1106,2653,-,-
122,-1000,2000,-1106,2653,-,-
123,-1000,2000,-1106,2653,-,-
124,-800,2000,-550,1800,-,-
125,-2261,2261,-,-,-,-
126,-1200,2000,-500,2000,-,-
127,-1000,2000,-1106,2653,-,-
128,-1250,2200,-,-,-750,750
129,-1000,2000,-1106,2653,-,-
130,-1100,1800,-400,1530,-,-
131,-2261,2261,-,-,-,-
132,-1000,2000,-1106,2653,-,-
133,-1000,2000,-1106,2653,-,-
134,-1000,2000,-1106,2653,-,-
135,-1250,2200,-,-,-750,750
136,-2261,2261,-,-,-,-
137,-1000,2000,-1106,2653,-,-
138,-950,2000,-230,1770,-,-
139,-2261,2261,-,-,-,-
140,-2261,2261,-,-,-,-
141,-2261,2261,-,-,-,-
142,-2261,2261,-,-,-,-
143,-1330,1330,-,-,-,-
207,-2261,2261,-,-,-,-
208,-1000,2000,-1106,2653,-,-
209,-1000,2000,-1106,2653,-,-
210,-1000,2000,-1106,2653,-,-
211,-1000,2000,-1106,2653,-,-
212,-1250,2200,-,-,-750,750
214,-1000,2000,-1106,2653,-,-
215,-1000,2000,-1106,2653,-,-
216,-1000,2000,-1106,2653,-,-
217,-1000,2000,-1106,2653,-,-
218,-750,2000,-475,1900,-,-
219,-1330,1330,-,-,-,-
220,-1000,2000,-1106,2653,-,-
221,-1000,2000,-1106,2653,-,-
222,-1000,2000,-1106,2653,-,-
223,-1000,2000,-1106,2653,-,-
224,-800,2000,-550,1800,-,-
225,-2261,2261,-,-,-,-
227,-1000,2000,-1106,2653,-,-
228,-1250,2200,-,-,-750,750
229,-1000,2000,-1106,2653,-,-
230,-1100,1800,-400,1530,-,-
231,-2261,2261,-,-,-,-
232,-1000,2000,-1106,2653,-,-
233,-1000,2000,-1106,2653,-,-
234,-1000,2000,-1106,2653,-,-
235,-1250,2200,-,-,-750,750
236,-2261,2261,-,-,-,-
237,-1000,2000,-1106,2653,-,-
238,-950,2000,-230,1770,-,-
239,-2261,2261,-,-,-,-
240,-2261,2261,-,-,-,-
241,-2261,2261,-,-,-,-
242,-2261,2261,-,-,-,-
243,-1330,1330,-,-,-,-
301,-2261,2261,-,-,-,-
302,-1000,2000,-1106,2653,-,-
303,-1000,2000,-1106,2653,-,-
304,-1000,2000,-1106,2653,-,-
305,-1000,2000,-1106,2653,-,-
306,-2261,2261,-,-,-,-
307,-2261,2261,-,-,-,-
308,-1000,2000,-1106,2653,-,-
309,-1000,2000,-1106,2653,-,-
310,-1000,2000,-1106,2653,-,-
311,-800,1800,-750,1800,-,-
312,-1250,2200,-,-,-750,750
313,-1200,2000,-500,2000,-,-
314,-1000,2000,-1106,2653,-,-
315,-1000,2000,-1106,2653,-,-
316,-1000,2000,-1106,2653,-,-
317,-1000,2000,-1106,2653,-,-
318,-750,2000,-475,1900,-,-
319,-1330,1330,-,-,-,-
320,-1000,2000,-1106,2653,-,-
321,-1000,2000,-1106,2653,-,-
322,-1000,2000,-1106,2653,-,-
323,-1000,2000,-1106,2653,-,-
324,-800,2000,-550,1800,-,-
325,-2261,2261,-,-,-,-
326,-1200,2000,-500,2000,-,-
327,-1000,2000,-1106,2653,-,-
328,-1250,2200,-,-,-750,750
329,-1000,2000,-1106,2653,-,-
330,-1100,1800,-400,1530,-,-
331,-2261,2261,-,-,-,-
332,-1000,2000,-1106,2653,-,-
333,-1000,2000,-1106,2653,-,-
334,-800,1800,-750,1800,-,-
335,-1250,2200,-,-,-750,750
336,-2261,2261,-,-,-,-
337,-1000,2000,-1106,2653,-,-
338,-950,2000,-230,1770,-,-
339,-2261,2261,-,-,-,-
340,-2261,2261,-,-,-,-
341,-2261,2261,-,-,-,-
342,-2261,2261,-,-,-,-
343,-1330,1330,-,-,-,-
407,-2261,2261,-,-,-,-
408,-1000,2000,-1106,2653,-,-
409,-1000,2000,-1106,2653,-,-
410,-1000,2000,-1106,2653,-,-
411,-800,1800,-750,1800,-,-
412,-1250,2200,-,-,-750,750
414,-1000,2000,-1106,2653,-,-
415,-1000,2000,-1106,2653,-,-
416,-1000,2000,-1106,2653,-,-
417,-1000,2000,-1106,2653,-,-
418,-750,2000,-475,1900,-,-
419,-1330,1330,-,-,-,-
420,-1000,2000,-1106,2653,-,-
421,-1000,2000,-1106,2653,-,-
422,-1000,2000,-1106,2653,-,-
423,-1000,2000,-1106,2653,-,-
424,-800,2000,-550,1800,-,-
425,-2261,2261,-,-,-,-
427,-1000,2000,-1106,2653,-,-
428,-1250,2200,-,-,-750,750
