ID,LowFault,LowWarning,HighWarning,HighFault
102,-10,-9,9,10
103,-10,-9,9,10
104,-10,-9,9,10
105,-10,-9,9,10
108,-10,-9,9,10
109,-10,-9,9,10
110,-10,-9,9,10
111,-10,-9,9,10
113,-10,-9,9,10
114,-10,-9,9,10
115,-10,-9,9,10
116,-10,-9,9,10
117,-10,-9,9,10
118,-10,-9,9,10
120,-10,-9,9,10
121,-10,-9,9,10
122,-10,-9,9,10
123,-10,-9,9,10
124,-10,-9,9,10
126,-10,-9,9,10
127,-10,-9,9,10
129,-10,-9,9,10
130,-10,-9,9,10
132,-10,-9,9,10
133,-10,-9,9,10
134,-10,-9,9,10
137,-10,-9,9,10
138,-10,-9,9,10
208,-10,-9,9,10
209,-10,-9,9,10
210,-10,-9,9,10
211,-10,-9,9,10
214,-10,-9,9,10
215,-10,-9,9,10
217,-10,-9,9,10
218,-10,-9,9,10
219,-10,-9,9,10
220,-10,-9,9,10
221,-10,-9,9,10
222,-10,-9,9,10
223,-10,-9,9,10
224,-10,-9,9,10
227,-10,-9,9,10
229,-10,-9,9,10
230,-10,-9,9,10
232,-10,-9,9,10
233,-10,-9,9,10
234,-10,-9,9,10
237,-10,-9,9,10
238,-10,-9,9,10
302,-10,-9,9,10
303,-10,-9,9,10
304,-10,-9,9,10
305,-10,-9,9,10
308,-10,-9,9,10
309,-10,-9,9,10
310,-10,-9,9,10
311,-10,-9,9,10
313,-10,-9,9,10
314,-10,-9,9,10
315,-10,-9,9,10
316,-10,-9,9,10
317,-10,-9,9,10
318,-10,-9,9,10
320,-10,-9,9,10
321,-10,-9,9,10
322,-10,-9,9,10
323,-10,-9,9,10
324,-10,-9,9,10
326,-10,-9,9,10
327,-10,-9,9,10
329,-10,-9,9,10
330,-10,-9,9,10
332,-10,-9,9,10
333,-10,-9,9,10
334,-10,-9,9,10
337,-10,-9,9,10
338,-10,-9,9,10
408,-10,-9,9,10
409,-10,-9,9,10
410,-10,-9,9,10
411,-10,-9,9,10
414,-10,-9,9,10
415,-10,-9,9,10
416,-10,-9,9,10
417,-10,-9,9,10
418,-10,-9,9,10
420,-10,-9,9,10
421,-10,-9,9,10
422,-10,-9,9,10
423,-10,-9,9,10
424,-10,-9,9,10
427,-10,-9,9,10
429,-10,-9,9,10
430,-10,-9,9,10
432,-10,-9,9,10
433,-10,-9,9,10
434,-10,-9,9,10
437,-10,-9,9,10
438,-10,-9,9,10
