ID,LowFault,LowWarning,HighWarning,HighFault
101,-9000000,-8999999,8999999,9000000
102,-9000000,-8999999,8999999,9000000
103,-9000000,-8999999,8999999,9000000
104,-9000000,-8999999,8999999,9000000
105,-9000000,-8999999,8999999,9000000
106,-9000000,-8999999,8999999,9000000
107,-9000000,-8999999,8999999,9000000
108,-9000000,-8999999,8999999,9000000
109,-9000000,-8999999,8999999,9000000
110,-9000000,-8999999,8999999,9000000
111,-9000000,-8999999,8999999,9000000
112,-9000000,-8999999,8999999,9000000
113,-9000000,-8999999,8999999,9000000
114,-9000000,-8999999,8999999,9000000
115,-9000000,-8999999,8999999,9000000
116,-9000000,-8999999,8999999,9000000
117,-9000000,-8999999,8999999,9000000
118,-9000000,-8999999,8999999,9000000
119,-9000000,-8999999,8999999,9000000
120,-9000000,-8999999,8999999,9000000
121,-9000000,-8999999,8999999,9000000
122,-9000000,-8999999,8999999,9000000
123,-9000000,-8999999,8999999,9000000
124,-9000000,-8999999,8999999,9000000
125,-9000000,-8999999,8999999,9000000
126,-9000000,-8999999,8999999,9000000
127,-9000000,-8999999,8999999,9000000
128,-9000000,-8999999,8999999,9000000
129,-9000000,-8999999,8999999,9000000
130,-9000000,-8999999,8999999,9000000
131,-9000000,-8999999,8999999,9000000
132,-9000000,-8999999,8999999,9000000
133,-9000000,-8999999,8999999,9000000
134,-9000000,-8999999,8999999,9000000
135,-9000000,-8999999,8999999,9000000
136,-9000000,-8999999,8999999,9000000
137,-9000000,-8999999,8999999,9000000
138,-9000000,-8999999,8999999,9000000
139,-9000000,-8999999,8999999,9000000
140,-9000000,-8999999,8999999,9000000
141,-9000000,-8999999,8999999,9000000
142,-9000000,-8999999,8999999,9000000
143,-9000000,-8999999,8999999,9000000
207,-9000000,-8999999,8999999,9000000
208,-9000000,-8999999,8999999,9000000
209,-9000000,-8999999,8999999,9000000
210,-9000000,-8999999,8999999,9000000
211,-9000000,-8999999,8999999,9000000
212,-9000000,-8999999,8999999,9000000
214,-9000000,-8999999,8999999,9000000
215,-9000000,-8999999,8999999,9000000
216,-9000000,-8999999,8999999,9000000
217,-9000000,-8999999,8999999,9000000
218,-9000000,-8999999,8999999,9000000
219,-9000000,-8999999,8999999,9000000
220,-9000000,-8999999,8999999,9000000
221,-9000000,-8999999,8999999,9000000
222,-9000000,-8999999,8999999,9000000
223,-9000000,-8999999,8999999,9000000
224,-9000000,-8999999,8999999,9000000
225,-9000000,-8999999,8999999,9000000
227,-9000000,-8999999,8999999,9000000
228,-9000000,-8999999,8999999,9000000
229,-9000000,-8999999,8999999,9000000
230,-9000000,-8999999,8999999,9000000
231,-9000000,-8999999,8999999,9000000
232,-9000000,-8999999,8999999,9000000
233,-9000000,-8999999,8999999,9000000
234,-9000000,-8999999,8999999,9000000
235,-9000000,-8999999,8999999,9000000
236,-9000000,-8999999,8999999,9000000
237,-9000000,-8999999,8999999,9000000
238,-9000000,-8999999,8999999,9000000
239,-9000000,-8999999,8999999,9000000
240,-9000000,-8999999,8999999,9000000
241,-9000000,-8999999,8999999,9000000
242,-9000000,-8999999,8999999,9000000
243,-9000000,-8999999,8999999,9000000
301,-9000000,-8999999,8999999,9000000
302,-9000000,-8999999,8999999,9000000
303,-9000000,-8999999,8999999,9000000
304,-9000000,-8999999,8999999,9000000
305,-9000000,-8999999,8999999,9000000
306,-9000000,-8999999,8999999,9000000
307,-9000000,-8999999,8999999,9000000
308,-9000000,-8999999,8999999,9000000
309,-9000000,-8999999,8999999,9000000
310,-9000000,-8999999,8999999,9000000
311,-9000000,-8999999,8999999,9000000
312,-9000000,-8999999,8999999,9000000
313,-9000000,-8999999,8999999,9000000
314,-9000000,-8999999,8999999,9000000
315,-9000000,-8999999,8999999,9000000
316,-9000000,-8999999,8999999,9000000
317,-9000000,-8999999,8999999,9000000
318,-9000000,-8999999,8999999,9000000
319,-9000000,-8999999,8999999,9000000
320,-9000000,-8999999,8999999,9000000
321,-9000000,-8999999,8999999,9000000
322,-9000000,-8999999,8999999,9000000
323,-9000000,-8999999,8999999,9000000
324,-9000000,-8999999,8999999,9000000
325,-9000000,-8999999,8999999,9000000
326,-9000000,-8999999,8999999,9000000
327,-9000000,-8999999,8999999,9000000
328,-9000000,-8999999,8999999,9000000
329,-9000000,-8999999,8999999,9000000
330,-9000000,-8999999,8999999,9000000
331,-9000000,-8999999,8999999,9000000
332,-9000000,-8999999,8999999,9000000
333,-9000000,-8999999,8999999,9000000
334,-9000000,-8999999,8999999,9000000
335,-9000000,-8999999,8999999,9000000
336,-9000000,-8999999,8999999,9000000
337,-9000000,-8999999,8999999,9000000
338,-9000000,-8999999,8999999,9000000
339,-9000000,-8999999,8999999,9000000
340,-9000000,-8999999,8999999,9000000
341,-9000000,-8999999,8999999,9000000
342,-9000000,-8999999,8999999,9000000
343,-9000000,-8999999,8999999,9000000
407,-9000000,-8999999,8999999,9000000
408,-9000000,-8999999,8999999,9000000
409,-9000000,-8999999,8999999,9000000
410,-9000000,-8999999,8999999,9000000
411,-9000000,-8999999,8999999,9000000
412,-9000000,-8999999,8999999,9000000
414,-9000000,-8999999,8999999,9000000
415,-9000000,-8999999,8999999,9000000
416,-9000000,-8999999,8999999,9000000
417,-9000000,-8999999,8999999,9000000
418,-9000000,-8999999,8999999,9000000
419,-9000000,-8999999,8999999,9000000
420,-9000000,-8999999,8999999,9000000
421,-9000000,-8999999,8999999,9000000
422,-9000000,-8999999,8999999,9000000
423,-9000000,-8999999,8999999,9000000
424,-9000000,-8999999,8999999,9000000
425,-9000000,-8999999,8999999,9000000
427,-9000000,-8999999,8999999,9000000
428,-9000000,-8999999,8999999,9000000
429,-9000000,-8999999,8999999,9000000
430,-9000000,-8999999,8999999,9000000
431,-9000000,-8999999,8999999,9000000
432,-9000000,-8999999,8999999,9000000
433,-9000000,-8999999,8999999,9000000
434,-9000000,-8999999,8999999,9000000
435,-9000000,-8999999,8999999,9000000
436,-9000000,-8999999,8999999,9000000
437,-9000000,-8999999,8999999,9000000
438,-9000000,-8999999,8999999,9000000
439,-9000000,-8999999,8999999,9000000
