ID,WarningThreshold,CountingFaultThreshold,ImmediateFaultThreshold
101,300,400,500
102,300,400,500
103,300,400,500
104,300,400,500
105,300,400,500
106,300,400,500
107,300,400,500
108,300,400,500
109,300,400,500
110,300,400,500
111,300,400,500
112,300,400,500
113,300,400,500
114,300,400,500
115,300,400,500
116,300,400,500
117,300,400,500
118,300,400,500
119,300,400,500
120,300,400,500
121,300,400,500
122,300,400,500
123,300,400,500
124,300,400,500
125,300,400,500
126,300,400,500
127,300,400,500
128,300,400,500
129,300,400,500
130,300,400,500
131,300,400,500
132,300,400,500
133,300,400,500
134,300,400,500
135,300,400,500
136,300,400,500
137,300,400,500
138,300,400,500
139,300,400,500
140,300,400,500
141,300,400,500
142,300,400,500
143,300,400,500
207,300,400,500
208,300,400,500
209,300,400,500
210,300,400,500
211,300,400,500
212,300,400,500
214,300,400,500
215,300,400,500
216,300,400,500
217,300,400,500
218,300,400,500
219,300,400,500
220,300,400,500
221,300,400,500
222,300,400,500
223,300,400,500
224,300,400,500
225,300,400,500
227,300,400,500
228,300,400,500
229,300,400,500
230,300,400,500
231,300,400,500
232,300,400,500
233,300,400,500
234,300,400,500
235,300,400,500
236,300,400,500
237,300,400,500
238,300,400,500
239,300,400,500
240,300,400,500
241,300,400,500
242,300,400,500
243,300,400,500
301,300,400,500
302,300,400,500
303,300,400,500
304,300,400,500
305,300,400,500
306,300,400,500
307,300,400,500
308,300,400,500
309,300,400,500
310,300,400,500
311,300,400,500
312,300,400,500
313,300,400,500
314,300,400,500
315,300,400,500
316,300,400,500
317,300,400,500
318,300,400,500
319,300,400,500
320,300,400,500
321,300,400,500
322,300,400,500
323,300,400,500
324,300,400,500
325,300,400,500
326,300,400,500
327,300,400,500
328,300,400,500
329,300,400,500
330,300,400,500
331,300,400,500
332,300,400,500
333,300,400,500
334,300,400,500
335,300,400,500
336,300,400,500
337,300,400,500
338,300,400,500
339,300,400,500
340,300,400,500
341,300,400,500
342,300,400,500
343,300,400,500
407,300,400,500
408,300,400,500
409,300,400,500
410,300,400,500
411,300,400,500
412,300,400,500
414,300,400,500
415,300,400,500
416,300,400,500
417,300,400,500
418,300,400,500
419,300,400,500
420,300,400,500
421,300,400,500
422,300,400,500
423,300,400,500
424,300,400,500
425,300,400,500
427,300,400,500
428,300,400,500
429,300,400,500
430,300,400,500
431,300,400,500
432,300,400,500
433,300,400,500
434,300,400,500
435,300,400,500
436,300,400,500
437,300,400,500
438,300,400,500
439,300,400,500
440,300,400,500
441,300,400,500
442,300,400,500
443,300,400,500
