# Based on calculations made on 10-2024 and stored in Docushare Collection-15535
ID,X,Y,Z
101,0,0,-0.000863419
102,0,0,0.005291323
103,0,0,-0.005594064
104,0,0,-0.012482906
105,0,0,-0.00330325
106,0,0,0.0132179
107,0,0,-0.003337361
108,0,0,0.003921142
109,0,0,0.001394829
110,0,0,-0.009644936
111,0,0,-0.009723602
112,0.083333333,0,0.005689785
113,0,0,4.61074E-06
114,0,0,-0.001445639
115,0,0,0.003051959
116,0,0,-0.001723349
117,0,0,-0.008744569
118,0,0,-0.005433681
119,0,0,0.038205372
120,0,0,-0.004257386
121,0,0,-0.003104383
122,0,0,0.001002514
123,0,0,0.00024015
124,0,0,-0.003631413
125,0,0,-0.012025181
126,0,0,-1.10015E-05
127,0,0,-0.00777924
128,0.083333333,0,-0.005017769
129,0,0,0.002757627
130,0,0,0.009243091
131,0,0,0.002004039
132,0,0,-0.005237066
133,0,0,-0.008862427
134,0,0,-0.004617864
135,0.083333333,0,0.00904846
136,0,0,0.022938464
137,0,0,-0.001226817
138,0,0,-0.004484641
139,0,0,-0.010428256
140,0,0,-0.003844147
141,0,0,0.002792191
142,0,0,0.00127811
143,0,0,0.004710459
207,0,0,0.003333072
208,0,0,-0.003903586
209,0,0,-0.001367956
210,0,0,0.009674183
211,0,0,0.00971907
212,0.083333333,0,-0.005708903
214,0,0,0.001469473
215,0,0,-0.003045866
216,0,0,0.001722453
217,0,0,0.008751391
218,0,0,0.005404119
219,0,0,-0.038294778
220,0,0,0.004248693
221,0,0,0.003097673
222,0,0,-0.001041925
223,0,0,-0.00026523
224,0,0,0.003664495
225,0,0,0.011943461
227,0,0,0.007791032
228,0.083333333,0,0.005027412
229,0,0,-0.002802502
230,0,0,-0.009253167
231,0,0,-0.00183745
232,0,0,0.005239188
233,0,0,0.008961699
234,0,0,0.004661052
235,0.083333333,0,-0.009118769
236,0,0,-0.022943652
237,0,0,0.001149078
238,0,0,0.004371492
239,0,0,0.010636474
240,0,0,0.003744639
241,0,0,-0.002982102
242,0,0,-0.000681755
243,0,0,-0.005086146
301,0,0,0.000839896
302,0,0,-0.005293882
303,0,0,0.005609766
304,0,0,0.012495921
305,0,0,0.003324086
306,0,0,-0.013177916
307,0,0,0.003322546
308,0,0,-0.00390378
309,0,0,-0.001378417
310,0,0,0.009647318
311,0,0,0.009735493
312,0.083333333,0,-0.005673674
313,0,0,-4.81694E-06
314,0,0,0.001465996
315,0,0,-0.00302008
316,0,0,0.001708306
317,0,0,0.008736333
318,0,0,0.005471545
319,0,0,-0.038468617
320,0,0,0.004223793
321,0,0,0.003118437
322,0,0,-0.001004824
323,0,0,-0.000280017
324,0,0,0.003635052
325,0,0,0.012176011
326,0,0,-3.86544E-06
327,0,0,0.007754003
328,0.083333333,0,0.005041772
329,0,0,-0.002763688
330,0,0,-0.009279945
331,0,0,-0.001997312
332,0,0,0.005196225
333,0,0,0.008869248
334,0,0,0.004665075
335,0.083333333,0,-0.009044879
336,0,0,-0.02292753
337,0,0,0.001177898
338,0,0,0.004457094
339,0,0,0.010491508
340,0,0,0.003823844
341,0,0,-0.002895408
342,0,0,-0.001243811
343,0,0,-0.004786544
407,0,0,-0.003297076
408,0,0,0.003897347
409,0,0,0.001355061
410,0,0,-0.009656757
411,0,0,-0.009707977
412,0.083333333,0,0.005726152
414,0,0,-0.001464266
415,0,0,0.003017583
416,0,0,-0.001734508
417,0,0,-0.008739174
418,0,0,-0.005400294
419,0,0,0.038117656
420,0,0,-0.004253113
421,0,0,-0.003098668
422,0,0,0.001025156
423,0,0,0.000264139
424,0,0,-0.003642691
425,0,0,-0.01190785
427,0,0,-0.007744824
428,0.083333333,0,-0.004999364
429,0,0,0.002797289
430,0,0,0.009245478
431,0,0,0.001904238
432,0,0,-0.005186019
433,0,0,-0.00887351
434,0,0,-0.004639289
435,0.083333333,0,0.009074397
436,0,0,0.022840587
437,0,0,-0.001137966
438,0,0,-0.004519362
439,0,0,-0.010544177
440,0,0,-0.003763614
441,0,0,0.002987266
442,0,0,0.001013063
443,0,0,0.004962862
