ID,LowFault,LowWarning,HighWarning,HighFault
102,-700,0,0,1900
103,-1106,0,0,2653
104,-1106,0,0,2653
105,-1106,0,0,2653
108,-1106,0,0,2653
109,-1106,0,0,2653
110,-1106,0,0,2653
111,-1106,0,0,2653
113,-500,0,0,2000
114,-1106,0,0,2653
115,-1106,0,0,2653
116,-1106,0,0,2653
117,-1106,0,0,2653
118,-475,0,0,1900
120,-1106,0,0,2653
121,-1106,0,0,2653
122,-1106,0,0,2653
123,-1106,0,0,2653
124,-550,0,0,1800
126,-500,0,0,2000
127,-1106,0,0,2653
129,-1106,0,0,2653
130,-400,0,0,1530
132,-1106,0,0,2653
133,-1106,0,0,2653
134,-1106,0,0,2653
137,-1106,0,0,2653
138,-230,0,0,1770
208,-1106,0,0,2653
209,-1106,0,0,2653
210,-1106,0,0,2653
211,-1106,0,0,2653
214,-1106,0,0,2653
215,-1106,0,0,2653
216,-1106,0,0,2653
217,-1106,0,0,2653
218,-475,0,0,1900
220,-1106,0,0,2653
221,-1106,0,0,2653
222,-1106,0,0,2653
223,-1106,0,0,2653
224,-550,0,0,1800
227,-1106,0,0,2653
229,-1106,0,0,2653
230,-400,0,0,1530
232,-1106,0,0,2653
233,-1106,0,0,2653
234,-1106,0,0,2653
237,-1106,0,0,2653
238,-230,0,0,1770
302,-1106,0,0,2653
303,-1106,0,0,2653
304,-1106,0,0,2653
305,-1106,0,0,2653
308,-1106,0,0,2653
309,-1106,0,0,2653
310,-1106,0,0,2653
311,-750,0,0,1800
313,-500,0,0,2000
314,-1106,0,0,2653
315,-1106,0,0,2653
316,-1106,0,0,2653
317,-1106,0,0,2653
318,-475,0,0,1900
320,-1106,0,0,2653
321,-1106,0,0,2653
322,-1106,0,0,2653
323,-1106,0,0,2653
324,-550,0,0,1800
326,-500,0,0,2000
327,-1106,0,0,2653
329,-1106,0,0,2653
330,-400,0,0,1530
332,-1106,0,0,2653
333,-1106,0,0,2653
334,-750,0,0,1800
337,-1106,0,0,2653
338,-230,0,0,1770
408,-1106,0,0,2653
409,-1106,0,0,2653
410,-1106,0,0,2653
411,-750,0,0,1800
414,-1106,0,0,2653
415,-1106,0,0,2653
416,-1106,0,0,2653
417,-1106,0,0,2653
418,-475,0,0,1900
420,-1106,0,0,2653
421,-1106,0,0,2653
422,-1106,0,0,2653
423,-1106,0,0,2653
424,-550,0,0,1800
427,-1106,0,0,2653
429,-1106,0,0,2653
430,-400,0,0,1530
432,-1106,0,0,2653
433,-1106,0,0,2653
434,-750,0,0,1800
437,-1106,0,0,2653
438,-230,0,0,1770
