ID,LowFault,LowWarning,HighWarning,HighFault
102,-90000,0,0,90000
103,-90000,0,0,90000
104,-90000,0,0,90000
105,-90000,0,0,90000
108,-90000,0,0,90000
109,-90000,0,0,90000
110,-90000,0,0,90000
111,-90000,0,0,90000
113,-90000,0,0,90000
114,-90000,0,0,90000
115,-90000,0,0,90000
116,-90000,0,0,90000
117,-90000,0,0,90000
118,-90000,0,0,90000
120,-90000,0,0,90000
121,-90000,0,0,90000
122,-90000,0,0,90000
123,-90000,0,0,90000
124,-90000,0,0,90000
126,-90000,0,0,90000
127,-90000,0,0,90000
129,-90000,0,0,90000
130,-90000,0,0,90000
132,-90000,0,0,90000
133,-90000,0,0,90000
134,-90000,0,0,90000
137,-90000,0,0,90000
138,-90000,0,0,90000
208,-90000,0,0,90000
209,-90000,0,0,90000
210,-90000,0,0,90000
211,-90000,0,0,90000
214,-90000,0,0,90000
215,-90000,0,0,90000
216,-90000,0,0,90000
217,-90000,0,0,90000
218,-90000,0,0,90000
220,-90000,0,0,90000
221,-90000,0,0,90000
222,-90000,0,0,90000
223,-90000,0,0,90000
224,-90000,0,0,90000
227,-90000,0,0,90000
229,-90000,0,0,90000
230,-90000,0,0,90000
232,-90000,0,0,90000
233,-90000,0,0,90000
234,-90000,0,0,90000
237,-90000,0,0,90000
238,-90000,0,0,90000
302,-90000,0,0,90000
303,-90000,0,0,90000
304,-90000,0,0,90000
305,-90000,0,0,90000
308,-90000,0,0,90000
309,-90000,0,0,90000
310,-90000,0,0,90000
311,-90000,0,0,90000
313,-90000,0,0,90000
314,-90000,0,0,90000
315,-90000,0,0,90000
316,-90000,0,0,90000
317,-90000,0,0,90000
318,-90000,0,0,90000
320,-90000,0,0,90000
321,-90000,0,0,90000
322,-90000,0,0,90000
323,-90000,0,0,90000
324,-90000,0,0,90000
326,-90000,0,0,90000
327,-90000,0,0,90000
329,-90000,0,0,90000
330,-90000,0,0,90000
332,-90000,0,0,90000
333,-90000,0,0,90000
334,-90000,0,0,90000
337,-90000,0,0,90000
338,-90000,0,0,90000
408,-90000,0,0,90000
409,-90000,0,0,90000
410,-90000,0,0,90000
411,-90000,0,0,90000
414,-90000,0,0,90000
415,-90000,0,0,90000
416,-90000,0,0,90000
417,-90000,0,0,90000
418,-90000,0,0,90000
420,-90000,0,0,90000
421,-90000,0,0,90000
422,-90000,0,0,90000
423,-90000,0,0,90000
424,-90000,0,0,90000
427,-90000,0,0,90000
429,-90000,0,0,90000
430,-90000,0,0,90000
432,-90000,0,0,90000
433,-90000,0,0,90000
434,-90000,0,0,90000
437,-90000,0,0,90000
438,-90000,0,0,90000
