ID,LowFault,LowWarning,HighWarning,HighFault
102,-70,0,0,190
103,-110.6,0,0,265.3
104,-110.6,0,0,265.3
105,-110.6,0,0,265.3
108,-110.6,0,0,265.3
109,-110.6,0,0,265.3
110,-110.6,0,0,265.3
111,-110.6,0,0,265.3
113,-50,0,0,200
114,-110.6,0,0,265.3
115,-110.6,0,0,265.3
116,-110.6,0,0,265.3
117,-110.6,0,0,265.3
118,-47.5,0,0,190
120,-110.6,0,0,265.3
121,-110.6,0,0,265.3
122,-110.6,0,0,265.3
123,-110.6,0,0,265.3
124,-55,0,0,180
126,-50,0,0,200
127,-110.6,0,0,265.3
129,-110.6,0,0,265.3
130,-40,0,0,153
132,-110.6,0,0,265.3
133,-110.6,0,0,265.3
134,-110.6,0,0,265.3
137,-110.6,0,0,265.3
138,-23,0,0,177
208,-110.6,0,0,265.3
209,-110.6,0,0,265.3
210,-110.6,0,0,265.3
211,-110.6,0,0,265.3
214,-110.6,0,0,265.3
215,-110.6,0,0,265.3
216,-110.6,0,0,265.3
217,-110.6,0,0,265.3
218,-47.5,0,0,190
220,-110.6,0,0,265.3
221,-110.6,0,0,265.3
222,-110.6,0,0,265.3
223,-110.6,0,0,265.3
224,-55,0,0,180
227,-110.6,0,0,265.3
229,-110.6,0,0,265.3
230,-40,0,0,153
232,-110.6,0,0,265.3
233,-110.6,0,0,265.3
234,-110.6,0,0,265.3
237,-110.6,0,0,265.3
238,-23,0,0,177
302,-110.6,0,0,265.3
303,-110.6,0,0,265.3
304,-110.6,0,0,265.3
305,-110.6,0,0,265.3
308,-110.6,0,0,265.3
309,-110.6,0,0,265.3
310,-110.6,0,0,265.3
311,-75,0,0,180
313,-50,0,0,200
314,-110.6,0,0,265.3
315,-110.6,0,0,265.3
316,-110.6,0,0,265.3
317,-110.6,0,0,265.3
318,-47.5,0,0,190
320,-110.6,0,0,265.3
321,-110.6,0,0,265.3
322,-110.6,0,0,265.3
323,-110.6,0,0,265.3
324,-55,0,0,180
326,-50,0,0,200
327,-110.6,0,0,265.3
329,-110.6,0,0,265.3
330,-40,0,0,153
332,-110.6,0,0,265.3
333,-110.6,0,0,265.3
334,-75,0,0,180
337,-110.6,0,0,265.3
338,-23,0,0,177
408,-110.6,0,0,265.3
409,-110.6,0,0,265.3
410,-110.6,0,0,265.3
411,-75,0,0,180
414,-110.6,0,0,265.3
415,-110.6,0,0,265.3
416,-110.6,0,0,265.3
417,-110.6,0,0,265.3
418,-47.5,0,0,190
420,-110.6,0,0,265.3
421,-110.6,0,0,265.3
422,-110.6,0,0,265.3
423,-110.6,0,0,265.3
424,-55,0,0,180
427,-110.6,0,0,265.3
429,-110.6,0,0,265.3
430,-40,0,0,153
432,-110.6,0,0,265.3
433,-110.6,0,0,265.3
434,-75,0,0,180
437,-110.6,0,0,265.3
438,-23,0,0,177
