ID,LowFault,LowWarning,HighWarning,HighFault
101,-2261,0,0,2261
102,-1000,0,0,2000
103,-1000,0,0,2000
104,-1000,0,0,2000
105,-1000,0,0,2000
106,-2261,0,0,2261
107,-2261,0,0,2261
108,-1000,0,0,2000
109,-1000,0,0,2000
110,-1000,0,0,2000
111,-1000,0,0,2000
112,-1250,0,0,2200
113,-1200,0,0,2000
114,-1000,0,0,2000
115,-1000,0,0,2000
116,-1000,0,0,2000
117,-1000,0,0,2000
118,-750,0,0,2000
119,-1330,0,0,1330
120,-1000,0,0,2000
121,-1000,0,0,2000
122,-1000,0,0,2000
123,-1000,0,0,2000
124,-800,0,0,2000
125,-2261,0,0,2261
126,-1200,0,0,2000
127,-1000,0,0,2000
128,-1250,0,0,2200
129,-1000,0,0,2000
130,-1100,0,0,1800
131,-2261,0,0,2261
132,-1000,0,0,2000
133,-1000,0,0,2000
134,-1000,0,0,2000
135,-1250,0,0,2200
136,-2261,0,0,2261
137,-1000,0,0,2000
138,-950,0,0,2000
139,-2261,0,0,2261
140,-2261,0,0,2261
141,-2261,0,0,2261
142,-2261,0,0,2261
143,-1330,0,0,1330
207,-2261,0,0,2261
208,-1000,0,0,2000
209,-1000,0,0,2000
210,-1000,0,0,2000
211,-1000,0,0,2000
212,-1250,0,0,2200
214,-1000,0,0,2000
215,-1000,0,0,2000
216,-1000,0,0,2000
217,-1000,0,0,2000
218,-750,0,0,2000
219,-1330,0,0,1330
220,-1000,0,0,2000
221,-1000,0,0,2000
222,-1000,0,0,2000
223,-1000,0,0,2000
224,-800,0,0,2000
225,-2261,0,0,2261
227,-1000,0,0,2000
228,-1250,0,0,2200
229,-1000,0,0,2000
230,-1100,0,0,1800
231,-2261,0,0,2261
232,-1000,0,0,2000
233,-1000,0,0,2000
234,-1000,0,0,2000
235,-1250,0,0,2200
236,-2261,0,0,2261
237,-1000,0,0,2000
238,-950,0,0,2000
239,-2261,0,0,2261
240,-2261,0,0,2261
241,-2261,0,0,2261
242,-2261,0,0,2261
243,-1330,0,0,1330
301,-2261,0,0,2261
302,-1000,0,0,2000
303,-1000,0,0,2000
304,-1000,0,0,2000
305,-1000,0,0,2000
306,-2261,0,0,2261
307,-2261,0,0,2261
308,-1000,0,0,2000
309,-1000,0,0,2000
310,-1000,0,0,2000
311,-800,0,0,1800
312,-1250,0,0,2200
313,-1200,0,0,2000
314,-1000,0,0,2000
315,-1000,0,0,2000
316,-1000,0,0,2000
317,-1000,0,0,2000
318,-750,0,0,2000
319,-1330,0,0,1330
320,-1000,0,0,2000
321,-1000,0,0,2000
322,-1000,0,0,2000
323,-1000,0,0,2000
324,-800,0,0,2000
325,-2261,0,0,2261
326,-1200,0,0,2000
327,-1000,0,0,2000
328,-1250,0,0,2200
329,-1000,0,0,2000
330,-1100,0,0,1800
331,-2261,0,0,2261
332,-1000,0,0,2000
333,-1000,0,0,2000
334,-800,0,0,1800
335,-1250,0,0,2200
336,-2261,0,0,2261
337,-1000,0,0,2000
338,-950,0,0,2000
339,-2261,0,0,2261
340,-2261,0,0,2261
341,-2261,0,0,2261
342,-2261,0,0,2261
343,-1330,0,0,1330
407,-2261,0,0,2261
408,-1000,0,0,2000
409,-1000,0,0,2000
410,-1000,0,0,2000
411,-800,0,0,1800
412,-1250,0,0,2200
414,-1000,0,0,2000
415,-1000,0,0,2000
416,-1000,0,0,2000
417,-1000,0,0,2000
418,-750,0,0,2000
419,-1330,0,0,1330
420,-1000,0,0,2000
421,-1000,0,0,2000
422,-1000,0,0,2000
423,-1000,0,0,2000
424,-800,0,0,2000
425,-2261,0,0,2261
427,-1000,0,0,2000
428,-1250,0,0,2200
429,-1000,0,0,2000
430,-1100,0,0,1800
431,-2261,0,0,2261
432,-1000,0,0,2000
433,-1000,0,0,2000
434,-800,0,0,1800
435,-1250,0,0,2200
436,-2261,0,0,2261
437,-1000,0,0,2000
438,-950,0,0,2000
439,-2261,0,0,2261
440,-2261,0,0,2261
441,-2261,0,0,2261
442,-2261,0,0,2261
443,-1330,0,0,1330
