ID,LowFault,LowWarning,HighWarning,HighFault
101,-226.1,0,0,226.1
102,-100,0,0,200
103,-100,0,0,200
104,-100,0,0,200
105,-100,0,0,200
106,-226.1,0,0,226.1
107,-226.1,0,0,226.1
108,-100,0,0,200
109,-100,0,0,200
110,-100,0,0,200
111,-100,0,0,200
112,-125,0,0,220
113,-120,0,0,200
114,-100,0,0,200
115,-100,0,0,200
116,-100,0,0,200
117,-100,0,0,200
118,-75,0,0,200
119,-133,0,0,133
120,-100,0,0,200
121,-100,0,0,200
122,-100,0,0,200
123,-100,0,0,200
124,-80,0,0,200
125,-226.1,0,0,226.1
126,-120,0,0,200
127,-100,0,0,200
128,-125,0,0,220
129,-100,0,0,200
130,-110,0,0,180
131,-226.1,0,0,226.1
132,-100,0,0,200
133,-100,0,0,200
134,-100,0,0,200
135,-125,0,0,220
136,-226.1,0,0,226.1
137,-100,0,0,200
138,-95,0,0,200
139,-226.1,0,0,226.1
140,-226.1,0,0,226.1
141,-226.1,0,0,226.1
142,-226.1,0,0,226.1
143,-133,0,0,133
207,-226.1,0,0,226.1
208,-100,0,0,200
209,-100,0,0,200
210,-100,0,0,200
211,-100,0,0,200
212,-125,0,0,220
214,-100,0,0,200
215,-100,0,0,200
216,-100,0,0,200
217,-100,0,0,200
218,-75,0,0,200
219,-133,0,0,133
220,-100,0,0,200
221,-100,0,0,200
222,-100,0,0,200
223,-100,0,0,200
224,-80,0,0,200
225,-226.1,0,0,226.1
227,-100,0,0,200
228,-125,0,0,220
229,-100,0,0,200
230,-110,0,0,180
231,-226.1,0,0,226.1
232,-100,0,0,200
233,-100,0,0,200
234,-100,0,0,200
235,-125,0,0,220
236,-226.1,0,0,226.1
237,-100,0,0,200
238,-95,0,0,200
239,-226.1,0,0,226.1
240,-226.1,0,0,226.1
241,-226.1,0,0,226.1
242,-226.1,0,0,226.1
243,-133,0,0,133
301,-226.1,0,0,226.1
302,-100,0,0,200
303,-100,0,0,200
304,-100,0,0,200
305,-100,0,0,200
306,-226.1,0,0,226.1
307,-226.1,0,0,226.1
308,-100,0,0,200
309,-100,0,0,200
310,-100,0,0,200
311,-80,0,0,180
312,-125,0,0,220
313,-120,0,0,200
314,-100,0,0,200
315,-100,0,0,200
316,-100,0,0,200
317,-100,0,0,200
318,-75,0,0,200
319,-133,0,0,133
320,-100,0,0,200
321,-100,0,0,200
322,-100,0,0,200
323,-100,0,0,200
324,-80,0,0,200
325,-226.1,0,0,226.1
326,-120,0,0,200
327,-100,0,0,200
328,-125,0,0,220
329,-100,0,0,200
330,-110,0,0,180
331,-226.1,0,0,226.1
332,-100,0,0,200
333,-100,0,0,200
334,-80,0,0,180
335,-125,0,0,220
336,-226.1,0,0,226.1
337,-100,0,0,200
338,-95,0,0,200
339,-226.1,0,0,226.1
340,-226.1,0,0,226.1
341,-226.1,0,0,226.1
342,-226.1,0,0,226.1
343,-133,0,0,133
407,-226.1,0,0,226.1
408,-100,0,0,200
409,-100,0,0,200
410,-100,0,0,200
411,-80,0,0,180
412,-125,0,0,220
414,-100,0,0,200
415,-100,0,0,200
416,-100,0,0,200
417,-100,0,0,200
418,-75,0,0,200
419,-133,0,0,133
420,-100,0,0,200
421,-100,0,0,200
422,-100,0,0,200
423,-100,0,0,200
424,-80,0,0,200
425,-226.1,0,0,226.1
427,-100,0,0,200
428,-125,0,0,220
429,-100,0,0,200
430,-110,0,0,180
431,-226.1,0,0,226.1
432,-100,0,0,200
433,-100,0,0,200
434,-80,0,0,180
435,-125,0,0,220
436,-226.1,0,0,226.1
437,-100,0,0,200
438,-95,0,0,200
439,-226.1,0,0,226.1
440,-226.1,0,0,226.1
441,-226.1,0,0,226.1
442,-226.1,0,0,226.1
443,-133,0,0,133
