Actuator,PrimaryHigh,PrimaryLow,SecondaryLow,SecondaryHigh
101,-2261,2261,-,-
102,-2700,2000,-700,4200
103,-2700,2000,-1106,4000
104,-2700,2000,-1106,4000
105,-2700,2000,-1106,4000
106,-2261,2261,-,-
107,-2261,2261,-,-
108,-2700,2000,-1106,4000
109,-2700,2000,-1106,4000
110,-2700,2000,-1106,4000
111,-2700,2000,-1106,4000
112,-1550,2200,-1900,750
113,-2800,2000,-900,4200
114,-2700,2000,-1106,4000
115,-2700,2000,-1106,4000
116,-2700,2000,-1106,4000
117,-2700,2000,-1106,4000
118,-2500,2000,-475,4200
119,-1530,1330,-,-
120,-2700,2000,-1106,4000
121,-2700,2000,-1106,4000
122,-2700,2000,-1106,4000
123,-2700,2000,-1106,4000
124,-2800,2000,-1050,2800
125,-2261,2261,-,-
126,-2800,2000,-1200,4200
127,-2700,2000,-1106,4000
128,-1550,2200,-1300,750
129,-2700,2000,-1106,4000
130,-1800,1800,-400,3300
131,-2261,2261,-,-
132,-2700,2000,-1106,4000
133,-2700,2000,-1106,4000
134,-2700,2000,-1106,4000
135,-1550,2200,-1300,750
136,-2261,2261,-,-
137,-2700,2000,-1106,4000
138,-2700,2000,-430,4000
139,-2261,2261,-,-
140,-2261,2261,-,-
141,-2261,2261,-,-
142,-2261,2261,-,-
143,-1530,1330,-,-
207,-2261,2261,-,-
208,-2700,2000,-1106,4000
209,-2700,2000,-1106,4000
210,-2700,2000,-1106,4000
211,-2700,2000,-1106,4000
212,-1550,2200,-1300,750
214,-2700,2000,-1106,4000
215,-2700,2000,-1106,4000
216,-2700,2000,-1106,4000
217,-2700,2000,-1106,4000
218,-2500,2000,-475,4200
219,-1530,1330,-,-
220,-2700,2000,-1106,4000
221,-2700,2000,-1106,4000
222,-2700,2000,-1106,4000
223,-2700,2000,-1106,4000
224,-2800,2000,-1050,2800
225,-2261,2261,-,-
227,-2700,2000,-1106,4000
228,-1550,2200,-1300,750
229,-2700,2000,-1106,4000
230,-1800,1800,-400,3300
231,-2261,2261,-,-
232,-2700,2000,-1106,4000
233,-2700,2000,-1106,4000
234,-2700,2000,-1106,4000
235,-1550,2200,-1300,750
236,-2261,2261,-,-
237,-2700,2000,-1106,4000
238,-2700,2000,-430,4000
239,-2261,2261,-,-
240,-2261,2261,-,-
241,-2261,2261,-,-
242,-2261,2261,-,-
243,-1530,1330,-,-
301,-2261,2261,-,-
302,-2700,2000,-1106,4000
303,-2700,2000,-1106,4000
304,-2700,2000,-1106,4000
305,-2700,2000,-1106,4000
306,-2261,2261,-,-
307,-2261,2261,-,-
308,-2700,2000,-1106,4000
309,-2700,2000,-1106,4000
310,-2700,2000,-1106,4000
311,-2700,2700,-3000,740
312,-1550,2200,-1300,750
313,-2700,2000,-900,4200
314,-2700,2000,-1106,4000
315,-2700,2000,-1106,4000
316,-2700,2000,-1106,4000
317,-2700,2000,-1106,4000
318,-2500,2000,-475,4200
319,-1530,1330,-,-
320,-2700,2000,-1106,4000
321,-2700,2000,-1106,4000
322,-2700,2000,-1106,4000
323,-2700,2000,-1106,4000
324,-2700,2000,-1050,2800
325,-2261,2261,-,-
326,-2800,2000,-900,4200
327,-2700,2000,-1106,4000
328,-1550,2200,-1300,750
329,-2700,2000,-1106,4000
330,-2700,1800,-400,3300
331,-2261,2261,-,-
332,-2700,2000,-1106,4000
333,-2700,2000,-1106,4000
334,-2800,2700,-3000,750
335,-1550,2200,-1300,750
336,-2261,2261,-,-
337,-2700,2000,-1106,4000
338,-2700,2000,-430,4000
339,-2261,2261,-,-
340,-2261,2261,-,-
341,-2261,2261,-,-
342,-2261,2261,-,-
343,-1530,1330,-,-
407,-2261,2261,-,-
408,-2700,2000,-1106,4000
409,-2700,2000,-1106,4000
410,-2700,2000,-1106,4000
411,-2800,2700,-3000,750
412,-1550,2200,-1300,750
414,-2700,2000,-1106,4000
415,-2700,2000,-1106,4000
416,-2700,2000,-1106,4000
417,-2700,2000,-1106,4000
418,-2500,2000,-475,4200
419,-1530,1330,-,-
420,-2700,2000,-1106,4000
421,-2700,2000,-1106,4000
422,-2700,2000,-1106,4000
423,-2700,2000,-1106,4000
424,-2800,2000,-1050,2800
425,-2261,2261,-,-
427,-2700,2000,-1106,4000
428,-1550,2200,-1300,750
429,-2700,2000,-1106,4000
430,-2700,1800,-400,3300
431,-2261,2261,-,-
432,-2700,2000,-1106,4000
433,-2700,2000,-1106,4000
434,-2800,2700,-3000,750
435,-1550,2200,-1300,750
436,-2261,2261,-,-
437,-2700,2000,-1106,4000
438,-2700,2000,-430,4000
439,-2261,2261,-,-
440,-2261,2261,-,-
441,-2261,2261,-,-
442,-2261,2261,-,-
443,-1530,1330,-,-
