Actuator,ZLow,ZHigh,YLow,YHigh,XLow,XHigh
101,-2668,2668,-,-,-,-
102,-1180,2360,-826,2242,-,-
103,-1180,2360,-1306,3131,-,-
104,-1180,2360,-1306,3131,-,-
105,-1180,2360,-1306,3131,-,-
106,-2668,2668,-,-,-,-
107,-2668,2668,-,-,-,-
108,-1180,2360,-1306,3131,-,-
109,-1180,2360,-1306,3131,-,-
110,-1180,2360,-1306,3131,-,-
111,-1180,2360,-1306,3131,-,-
112,-1475,2596,-,-,-885,885
113,-1416,2360,-590,2360,-,-
114,-1180,2360,-1306,3131,-,-
115,-1180,2360,-1306,3131,-,-
116,-1180,2360,-1306,3131,-,-
117,-1180,2360,-1306,3131,-,-
118,-885,2360,-561,2242,-,-
119,-1570,1570,-,-,-,-
120,-1180,2360,-1306,3131,-,-
121,-1180,2360,-1306,3131,-,-
122,-1180,2360,-1306,3131,-,-
123,-1180,2360,-1306,3131,-,-
124,-944,2360,-649,2124,-,-
125,-2668,2668,-,-,-,-
126,-1416,2360,-590,2360,-,-
127,-1180,2360,-1306,3131,-,-
128,-1475,2596,-,-,-885,885
129,-1180,2360,-1306,3131,-,-
130,-1298,2124,-472,1806,-,-
131,-2668,2668,-,-,-,-
132,-1180,2360,-1306,3131,-,-
133,-1180,2360,-1306,3131,-,-
134,-1180,2360,-1306,3131,-,-
135,-1475,2596,-,-,-885,885
136,-2668,2668,-,-,-,-
137,-1180,2360,-1306,3131,-,-
138,-1121,2360,-272,2089,-,-
139,-2668,2668,-,-,-,-
140,-2668,2668,-,-,-,-
141,-2668,2668,-,-,-,-
142,-2668,2668,-,-,-,-
143,-1570,1570,-,-,-,-
207,-2668,2668,-,-,-,-
208,-1180,2360,-1306,3131,-,-
209,-1180,2360,-1306,3131,-,-
210,-1180,2360,-1306,3131,-,-
211,-1180,2360,-1306,3131,-,-
212,-1475,2596,-,-,-885,885
214,-1180,2360,-1306,3131,-,-
215,-1180,2360,-1306,3131,-,-
216,-1180,2360,-1306,3131,-,-
217,-1180,2360,-1306,3131,-,-
218,-885,2360,-561,2242,-,-
219,-1570,1570,-,-,-,-
220,-1180,2360,-1306,3131,-,-
221,-1180,2360,-1306,3131,-,-
222,-1180,2360,-1306,3131,-,-
223,-1180,2360,-1306,3131,-,-
