ID,X,Y,Z
101,0,0,0
102,0,0,0
103,0,0,0
104,0,0,0
105,0,0,0
106,0,0,0
107,0,0,-0.0005081299
108,0,0,-0.0006
109,0,0,-0.0006510678
110,0,0,-0.0008142113
111,0,0,-0.0008506577
112,0,0,-0.0009133318
113,0,0,-0.0019493017
114,0,0,-0.0011404909
115,0,0,-0.0013294806
116,0,0,-0.0015184704
117,0,0,-0.0015954506
118,0,0,-0.0016082579
119,0,0,-0.0006705463
120,0,0,-0.0020175661
121,0,0,-0.0021031778
122,0,0,-0.0022942663
123,0,0,-0.0025828407
124,0,0,-0.0027222229
125,0,0,-0.0018355355
126,0,0,-0.0051380524
127,0,0,-0.0027895142
128,0,0,-0.0035168066
129,0,0,-0.0034762047
130,0,0,-0.0030671878
131,0,0,-0.0028318794
132,0,0,-0.0043050701
133,0,0,-0.0045537233
134,0,0,-0.0036796902
135,0,0,-0.0049944867
136,0,0,-0.0032434053
137,0,0,-0.0051166171
138,0,0,-0.005142
139,0,0,-0.0030018166
140,0,0,-0.0051289362
141,0,0,-0.0055378972
142,0,0,-0.0050701098
143,0,0,-0.002291
207,0,0,-0.0005081299
208,0,0,-0.0006
209,0,0,-0.0006510678
210,0,0,-0.0008142113
211,0,0,-0.0008506577
212,0,0,-0.0009133318
214,0,0,-0.0011404909
215,0,0,-0.0013294806
216,0,0,-0.0015184704
217,0,0,-0.0015954506
218,0,0,-0.0016082579
219,0,0,-0.0006705463
220,0,0,-0.0020175661
221,0,0,-0.0021031778
222,0,0,-0.0022942663
223,0,0,-0.0025828407
224,0,0,-0.0027222229
225,0,0,-0.0018355355
227,0,0,-0.0027895142
228,0,0,-0.0035168066
229,0,0,-0.0034762047
230,0,0,-0.0030671878
231,0,0,-0.0028318794
232,0,0,-0.0043050701
233,0,0,-0.0045537233
234,0,0,-0.0036796902
235,0,0,-0.0049944867
236,0,0,-0.0032434053
237,0,0,-0.0051166171
238,0,0,-0.005142
239,0,0,-0.0030018166
240,0,0,-0.0051289362
241,0,0,-0.0055378972
242,0,0,-0.0050701098
243,0,0,-0.002291
301,0,0,0
302,0,0,0
303,0,0,0
304,0,0,0
305,0,0,0
306,0,0,0
307,0,0,0.0005081299
308,0,0,0.0006
309,0,0,0.0006510678
310,0,0,0.0008142113
311,0,0,0.0008506577
312,0,0,0.0009133318
313,0,0,0.0019493034
314,0,0,0.0011404919
315,0,0,0.0013294818
316,0,0,0.0015184717
317,0,0,0.0015954519
318,0,0,0.0016082593
319,0,0,0.0006705463
320,0,0,0.0020175614
321,0,0,0.002103173
322,0,0,0.002294261
323,0,0,0.0025828347
324,0,0,0.0027222166
325,0,0,0.0018355416
326,0,0,0.0051380569
327,0,0,0.0027895166
328,0,0,0.0035168097
329,0,0,0.0034762077
330,0,0,0.0030671905
331,0,0,0.0028318755
332,0,0,0.0043050656
333,0,0,0.0045537186
334,0,0,0.0036796864
335,0,0,0.0049944815
336,0,0,0.0032434065
337,0,0,0.0051166201
338,0,0,0.005142
339,0,0,0.0030018175
340,0,0,0.0051289377
341,0,0,0.0055378972
342,0,0,0.0050701138
343,0,0,0.002291
407,0,0,0.0005081299
408,0,0,0.0006
409,0,0,0.0006510678
410,0,0,0.0008142113
411,0,0,0.0008506577
412,0,0,0.0009133318
414,0,0,0.0011404919
415,0,0,0.0013294818
416,0,0,0.0015184717
417,0,0,0.0015954519
418,0,0,0.0016082593
419,0,0,0.0006705463
420,0,0,0.0020175614
421,0,0,0.002103173
422,0,0,0.002294261
423,0,0,0.0025828347
424,0,0,0.0027222166
425,0,0,0.0018355416
427,0,0,0.0027895166
428,0,0,0.0035168097
429,0,0,0.0034762077
430,0,0,0.0030671905
431,0,0,0.0028318755
432,0,0,0.0043050656
433,0,0,0.0045537186
434,0,0,0.0036796864
435,0,0,0.0049944815
436,0,0,0.0032434065
437,0,0,0.0051166201
438,0,0,0.005142
439,0,0,0.0030018175
440,0,0,0.0051289377
441,0,0,0.0055378972
442,0,0,0.0050701138
443,0,0,0.002291
