,ID,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90
Fz_001,101,751.6662733,748.7129879,740.0615447,725.7777862,705.9704205,680.7901937,650.4287424,615.1171356,575.1241161,530.7540547,482.3446345,430.2642804,374.9093553,316.7011436,256.082645,193.5152028,129.4749931,64.44940057,-1.066690855
Fz_002,102,844.7324381,841.3312255,831.5269743,815.3943007,793.0559842,764.6820328,730.4883893,690.7352882,645.7252744,595.8009013,541.3421237,482.7634056,420.5105665,355.0573881,286.9020086,216.5631316,144.5760783,71.48871383,-2.142722939
Fz_003,103,994.6774961,990.7139212,979.2104152,960.2545266,933.9905213,900.6182842,860.3917981,813.6172109,760.6505054,701.8947904,637.7972321,568.8456518,495.5648126,418.512426,338.2749071,255.4629118,170.7066896,84.65128641,-2.048364196
Fz_004,104,1183.75218,1179.186549,1165.646595,1143.235368,1112.123428,1072.547558,1024.808954,969.2709344,906.3561779,836.5435035,760.364228,678.3981217,591.2689959,499.6399561,404.2083546,305.7004834,204.8660469,102.4724561,-0.701011934
Fz_005,105,1377.897013,1372.743553,1357.142686,1331.213143,1295.152265,1249.234496,1193.809298,1129.29849,1056.193039,975.0493215,886.4848897,791.1737725,689.8413453,583.2588088,472.2373206,357.6218213,240.284604,121.1186758,1.030961262
Fz_006,106,992.4977734,988.8636556,977.7036882,959.1028055,933.2025712,900.2001019,860.3465663,813.9452738,761.3493663,702.9591304,639.2189511,570.6139296,497.6661915,420.9309132,340.9920965,258.4581241,173.9571293,88.13221563,1.636562623
Fz_007,107,770.4475146,752.1232613,728.0748959,698.4854408,663.5800898,623.6244937,578.9227386,529.8150319,476.6751128,419.9074084,359.943955,297.2411108,232.2760823,165.5432925,97.5506183,28.81552499,-40.13887186,-108.7877877,-176.6087627
Fz_008,108,823.1013221,805.2233052,781.2170527,751.2652667,715.5958984,674.4804133,628.2317249,577.2018138,521.7790483,462.3852293,399.4723794,333.5193035,265.0279444,194.5195625,122.5307694,49.60944305,-23.68944108,-96.80803425,-169.1898598
Fz_009,109,933.7991391,920.3961944,899.9884788,872.7313075,838.832124,798.5489216,752.1882796,700.1030307,642.6895749,580.3848635,513.6630727,443.0319959,369.029178,292.2178253,213.1825184,132.5247639,50.85841592,-31.19499532,-113.0109938
Fz_010,110,1098.312694,1091.675604,1076.730203,1053.590235,1022.43181,983.492061,937.0673437,883.510978,823.2305603,756.684861,684.380333,606.8672574,524.7355556,438.6102993,349.1469538,257.0263892,162.9496985,67.63286229,-28.19870088
