# Calculated from slews 2024-11-29T21:12:00.000 - 2024-11-29T21:55:00.000
ID,X,Y,Z
0,0.0,0.0,-200488.89356381792
1,0.0,427463.25817115913,-245426.61947621455
2,0.0,702124.7468572943,-292629.52875869646
3,0.0,702156.1802374936,-310477.87422954594
4,0.0,702189.2142439132,-364833.18499751267
5,0.0,0.0,-287780.78851351974
6,0.0,0.0,-260101.73813312818
7,0.0,427447.7605220582,-334947.2210140491
8,0.0,703544.505168147,-329136.2750021575
9,0.0,702140.2124017297,-333000.30638351396
10,0.0,702172.3866063758,-345417.591469822
11,4862.092468970919,0.0,-365211.02753465273
12,0.0,427398.58944035956,-584415.7050751265
13,0.0,427432.52400742914,-413999.85005293513
14,0.0,703528.9956399073,-332790.27699683077
15,0.0,703559.756495547,-341170.6214750125
16,0.0,702155.956579125,-344802.6058564974
17,0.0,494483.70716864825,-318079.5184528702
18,0.0,0.0,-105679.71249527326
19,0.0,703484.1249285294,-401396.8201455157
20,0.0,703513.9674957113,-279222.58296786906
21,0.0,703544.411829101,-283778.3354853233
22,0.0,703575.4578460624,-315289.6735537834
23,0.0,494469.30822630686,-272776.0846334731
24,0.0,0.0,-152913.3449503563
25,0.0,703464.7566395547,-583809.3139204157
26,0.0,703499.1739180324,-377206.08987872704
27,4948.077583920919,0.0,-292219.2046994429
28,0.0,703560.3326028144,-281493.9359830343
29,0.0,494454.3298298801,-243450.09458649962
30,0.0,0.0,-84134.99350190551
31,0.0,703484.4112054568,-483034.96703610616
32,0.0,703514.4404300712,-373201.78422722564
33,0.0,703545.2689038373,-289985.0420932881
34,4976.479428427759,0.0,-215721.65669905263
35,0.0,0.0,-74763.77336367223
36,0.0,703474.6948545574,-300247.83565679303
37,0.0,703504.6816241598,-268481.33214092575
38,0.0,0.0,-183106.67058487158
39,0.0,0.0,-115092.90921539722
40,0.0,0.0,95691.92700337675
41,0.0,0.0,-8103.250211590188
42,0.0,0.0,-2170.3457869781623
43,0.0,0.0,-259679.43878811027
44,0.0,427349.3132602997,-340881.7619246548
45,0.0,703384.8681499101,-334341.29274421884
46,0.0,704789.0993052933,-340855.2710824177
47,0.0,704756.922662842,-362610.09130480164
48,4862.070198167173,0.0,-393550.3976859365
49,0.0,427364.56343077525,-417618.8826884229
50,0.0,703400.3834421152,-341919.07427383197
51,0.0,703369.6235987853,-348588.34071278776
52,0.0,704773.3606852698,-355856.56278021727
53,0.0,494169.43929071067,-338248.1620285253
54,0.0,0.0,-130123.68525014338
55,0.0,703445.2760524278,-400665.7470359762
56,0.0,703415.4289815035,-287249.2537801003
57,0.0,703384.9792146976,-297381.7318683401
58,0.0,703353.929603006,-328359.4060081822
59,0.0,494183.84666207584,-288900.5828926555
60,0.0,0.0,-174939.27992446552
61,0.0,703430.2464414161,-378118.9942182391
62,4948.0659733535185,0.0,-303568.58752231137
63,0.0,703369.064990006,-297575.95253092103
64,0.0,494198.8358220352,-259896.53830147607
65,0.0,0.0,-103162.956613619
66,0.0,703445.0343171082,-480801.9735777347
67,0.0,703415.0079641466,-376368.44111047784
68,0.0,703384.1499887955,-301530.6437788718
69,4976.472466219152,0.0,-231525.89706228912
70,0.0,0.0,-93487.59949714367
71,0.0,703454.7644891283,-298916.63268970454
72,0.0,703413.4916901453,-303217.2624206638
73,0.0,0.0,-189517.22529779386
74,0.0,0.0,-125756.65999640197
75,0.0,0.0,96126.23719294093
76,0.0,0.0,-8128.733254849046
77,0.0,0.0,-5131.781253183951
78,0.0,0.0,-203515.18553735458
79,0.0,427333.807987891,-251194.99640446936
80,0.0,704804.5605525798,-301630.29641836544
81,0.0,704773.1260774333,-325752.3066347902
82,0.0,704740.0955211294,-389065.63916684245
83,0.0,0.0,-322123.47090528987
84,0.0,0.0,-163536.461392714
85,0.0,427349.30435611017,-97621.44524449272
86,0.0,703384.8591630833,-241857.68747255177
87,0.0,704789.0932934161,-290179.1865117765
88,0.0,704756.920865477,-341235.32479314925
89,4803.044015155678,0.0,-433839.6569465993
90,0.0,427398.5594377856,-121084.98147115258
