# Calculated from slews 2024-11-29T21:12:00.000 - 2024-11-29T21:55:00.000
ID,X,Y,Z
0,0.0,0.0,11979590.30257737
1,0.0,20050228.559253227,15856234.072010593
2,0.0,22135425.221990995,18184251.909956463
3,0.0,1625556.5401347717,23241409.1622068
4,0.0,26231707.2074489,22123047.59927653
5,0.0,0.0,27085816.006304655
6,0.0,0.0,12221435.670042327
7,0.0,17242890.99938304,15079427.818470076
8,0.0,15997820.487085804,16691479.271545738
9,0.0,26350285.351477202,21526692.34680762
10,0.0,20231653.119616542,23344681.845305044
11,10194914.963289896,0.0,25509495.24040564
12,0.0,16933402.043469153,22875979.218583394
13,0.0,15812245.691681499,13836426.682931606
14,0.0,15826475.068964906,16586915.026002716
15,0.0,16053552.21477911,19634804.14852548
16,0.0,15559081.354181085,21150073.668131355
17,0.0,25015688.340438608,21854648.006499194
18,0.0,0.0,10848665.932864401
19,0.0,16963046.57947622,15930658.040434217
20,0.0,20598652.475384142,17163037.01923998
21,0.0,18357525.553249147,19227118.345339533
22,0.0,10716942.842785124,22230241.88256313
23,0.0,4268070.479805607,24337678.844855975
24,0.0,0.0,19255702.540873505
25,0.0,17931830.016187508,29539158.492465075
26,0.0,23977536.68947077,16584092.478425957
27,11905997.58161836,0.0,21604574.825759638
28,0.0,30735898.008364167,22098985.330084085
29,0.0,37743866.320437126,19913365.85368174
30,0.0,0.0,20161817.805296868
31,0.0,5057800.919034146,20037177.691839557
32,0.0,36154919.19045786,21550064.502602715
33,0.0,4183287.10682537,18316596.902615733
34,27067991.96779793,0.0,25337162.594954576
35,0.0,0.0,17748961.984909866
36,0.0,46305801.21000111,19337123.237266924
37,0.0,-651143.8252087135,20173137.001055464
38,0.0,0.0,12659910.950902974
39,0.0,0.0,21308854.36224149
40,0.0,0.0,18173391.889136102
41,0.0,0.0,17719672.261283368
42,0.0,0.0,8653985.564114904
43,0.0,0.0,11701890.084338201
44,0.0,17056130.42253846,13620214.90406661
45,0.0,18212860.217534594,14136585.676024014
46,0.0,8272454.403641563,17155130.355302885
47,0.0,13431196.559593098,17522603.834994014
48,10200250.979771165,0.0,17883215.025509786
49,0.0,18222346.469056856,12875687.231876878
50,0.0,18046850.815894965,14469593.672315914
51,0.0,18701402.170931228,16100912.277792448
52,0.0,19335795.241482668,16247245.164861694
53,0.0,10113972.98040118,15740597.436083127
54,0.0,0.0,7513258.616762703
55,0.0,18702587.952371504,15275547.563845184
56,0.0,15716790.28573872,15442950.739328763
57,0.0,16748420.138784992,16276374.80787213
58,0.0,23272589.62322248,17609547.936483674
59,0.0,30189845.655113835,18137825.27716085
60,0.0,0.0,13489453.713979436
61,0.0,12284545.906839343,15432387.500746831
62,10294520.604273666,0.0,18862037.868071184
63,0.0,2229119.293238869,18105172.008287888
64,0.0,-3231997.129984844,15246548.04382719
65,0.0,0.0,14540681.468552424
66,0.0,25811347.686868556,19226416.1144707
67,0.0,-12570618.86293421,19360940.593996763
68,0.0,33061808.303479414,15493046.62684746
69,28851407.253983673,0.0,20087194.795432195
70,0.0,0.0,13389172.06845291
71,0.0,-12418245.947857866,18930836.380982373
72,0.0,44345704.48921313,19010669.47852411
73,0.0,0.0,10937321.655754011
74,0.0,0.0,17480977.389427427
75,0.0,0.0,17579774.55489736
76,0.0,0.0,16026806.506753115
77,0.0,0.0,7453971.218816115
78,0.0,0.0,11127820.169852499
79,0.0,14570139.632984988,13894771.388277475
80,0.0,12530595.555698084,14963425.902613482
81,0.0,32328995.3733845,18016625.40770431
82,0.0,8280754.873723565,16086043.670132667
