# # # Calculated from slews 2024-11-12T23:30:00.000 - 2024-11-13T00:30:00.000
# # Updated with slews 2024-11-23T18:07:00.000 - 2024-11-23T18:29:00.000
# Updated with slews 2024-11-28T21:18:00.000 - 2024-11-28T21:30:00.000
ID,X,Y,Z
0,0.0,0.0,14317215.913736695
1,0.0,-72465962.04128869,16164843.330302829
2,0.0,-119029986.21808702,20474188.354183584
3,0.0,-117276953.99816121,21838485.265827984
4,0.0,-116856223.13652886,23435643.784191333
5,0.0,0.0,14444519.568463324
6,0.0,0.0,32231094.57526876
7,0.0,-72465962.04128869,34197687.364286385
8,0.0,-119273338.4562355,31606070.44001422
9,0.0,-117487311.10084064,30588464.34707193
10,0.0,-117066596.8954802,27397563.66276642
11,-11107885.259469924,0.0,22517138.225284185
12,0.0,-72465962.04128869,61400758.23911932
13,0.0,-72465962.04128869,43643218.32878024
14,0.0,-119273338.4562355,31143032.47800852
15,0.0,-117941037.09793991,29845593.232058804
16,0.0,-117276953.99816121,28194828.257926308
17,0.0,-81639935.69040833,20760626.942751694
18,0.0,0.0,-4242997.222694257
19,0.0,-119273338.4562355,48869759.03573115
20,0.0,-119273338.4562355,28696084.656209465
21,0.0,-118151394.83313686,20843081.5778432
22,0.0,-117730679.78442046,20079216.604946427
23,0.0,-81850309.44935971,14013965.71840675
24,0.0,0.0,4441285.746668557
25,0.0,-119273338.4562355,65612131.83840562
26,0.0,-119273338.4562355,45212903.688061185
27,-11107885.259469924,0.0,26199671.75182912
28,0.0,-117941037.09793991,15833896.843110869
29,0.0,-82060666.55203976,6902138.19838458
30,0.0,0.0,-6822007.026616339
31,0.0,-119273338.4562355,53141162.340944916
32,0.0,-119273338.4562355,37363836.381489076
33,0.0,-118151394.83313686,21214577.302655634
34,-11107885.259469924,0.0,5616176.786950745
35,0.0,0.0,-10831929.360157676
36,0.0,-119273338.4562355,21864331.01767771
37,0.0,-119273338.4562355,19077674.545965187
38,0.0,0.0,15468364.24313056
39,0.0,0.0,2479130.0138412993
40,0.0,0.0,-34694736.28667425
