# # # Calculated from slews 2024-11-12T23:30:00.000 - 2024-11-13T00:30:00.000
# # Updated with slews 2024-11-23T18:07:00.000 - 2024-11-23T18:29:00.000
# Updated with slews 2024-11-28T21:18:00.000 - 2024-11-28T21:30:00.000
ID,X,Y,Z
0,0.0,0.0,-202861676.05638233
1,0.0,-2902059174.5941873,-519158015.506219
2,0.0,-4766818156.077219,-558052320.1525825
3,0.0,-4473862858.226133,-744942755.0235202
4,0.0,-4403553063.869088,-1279246699.984239
5,0.0,0.0,-1906634145.1201355
6,0.0,0.0,2201801142.9583592
7,0.0,-2902059174.5941873,332131521.12558264
8,0.0,-4776563732.834672,808717761.0198492
9,0.0,-4509016363.661058,571318248.432346
10,0.0,-4438709352.791208,-223220292.54442832
11,-1226201176.204127,0.0,-1059400258.5107452
12,0.0,-2902059174.5941873,636242808.0277712
13,0.0,-2902059174.5941873,174138283.57730532
14,0.0,-4776563732.834672,437463789.6050024
15,0.0,-4553918229.340634,344967396.09882706
16,0.0,-4473862858.226133,-98291596.83194518
17,0.0,-2993239211.6921244,-516398438.757834
18,0.0,0.0,-1921170179.0981462
19,0.0,-4776563732.834672,2802724493.4140453
20,0.0,-4776563732.834672,1738941638.5061812
21,0.0,-4589071840.477601,122115647.33918157
22,0.0,-4518764688.6717005,-763756283.9018818
23,0.0,-3028395500.6142454,-577173646.0560182
24,0.0,0.0,-685805307.3061342
25,0.0,-4776563732.834672,3058862838.027804
26,0.0,-4776563732.834672,2817325307.7935977
27,-1226201176.204127,0.0,1072905306.789325
28,0.0,-4553918229.340634,-480609057.10036874
29,0.0,-3063549006.0491724,-841203640.6441796
30,0.0,0.0,-836246996.3844011
31,0.0,-4776563732.834672,1714553818.5691812
32,0.0,-4776563732.834672,1394760073.2757452
33,0.0,-4589071840.477601,638162973.4620563
34,-1226201176.204127,0.0,61288891.27015792
35,0.0,0.0,-819100282.8994693
36,0.0,-4776563732.834672,1050274728.9451169
37,0.0,-4776563732.834672,1339947658.8643816
38,0.0,0.0,1022801853.7591621
39,0.0,0.0,758673670.6951442
40,0.0,0.0,-496530006.5337244
41,0.0,0.0,976764179.8543245
42,0.0,0.0,-1955653115.37671
43,0.0,0.0,2266178430.739456
44,0.0,-2902059174.5941873,905342532.5625741
45,0.0,-4776563732.834672,1723608674.820043
46,0.0,-5044111086.694878,1636274628.9922855
47,0.0,-5114417674.756542,1388229771.7355793
48,-1226201176.204127,0.0,1577349736.5558572
49,0.0,-2902059174.5941873,409795002.8408759
50,0.0,-4776563732.834672,1260788468.284534
51,0.0,-4999209447.732804,1549878358.901634
52,0.0,-5079264380.725712,1309322734.4032767
53,0.0,-3719769607.512484,1280089215.1777315
54,0.0,0.0,824257674.0619017
55,0.0,-4776563732.834672,2866154086.1923366
56,0.0,-4776563732.834672,2238957497.4807296
57,0.0,-4964056153.701974,1262962583.2016513
58,0.0,-5034362776.997661,768565274.9553207
59,0.0,-3684613107.18627,1079185386.0231624
60,0.0,0.0,887894374.5243107
61,0.0,-4776563732.834672,3011615407.5109253
62,-1226201176.204127,0.0,1822711903.8257113
63,0.0,-4999209447.732804,932270353.3993977
64,0.0,-3649459813.155438,1037805558.4645828
65,0.0,0.0,992876811.631248
66,0.0,-4776563732.834672,1767670336.240535
67,0.0,-4776563732.834672,1750228815.9935086
68,0.0,-4964056153.701974,1558754194.006679
69,-1226201176.204127,0.0,1733383241.8560565
70,0.0,0.0,1461830662.473073
71,0.0,-4776563732.834672,1103575162.0522656
72,0.0,-4776563732.834672,1878620624.924087
73,0.0,0.0,1550998936.2916496
74,0.0,0.0,1683065744.882505
75,0.0,0.0,-217472363.81623363
76,0.0,0.0,1513236155.237972
77,0.0,0.0,-1359090387.7937589
78,0.0,0.0,31857398.89286265
79,0.0,-2902059174.5941873,282272482.41696274
80,0.0,-4786308871.4705305,254670736.61721808
81,0.0,-5079264380.725712,431135762.5712678
82,0.0,-5149574175.082764,918479101.0412654
83,0.0,0.0,1589651753.2002902
84,0.0,0.0,-2510354045.1104956
85,0.0,-2902059174.5941873,-547050279.3810426
86,0.0,-4776563732.834672,-1127200447.6058972
87,0.0,-5044111086.694878,-954624130.2896656
88,0.0,-5114417674.756542,-141757044.891246
89,-1226201176.204127,0.0,694126219.3481684
90,0.0,-2902059174.5941873,-971615807.5185777
91,0.0,-2902059174.5941873,-415954082.607073
92,0.0,-4776563732.834672,-734982708.9288715
93,0.0,-4999209447.732804,-749034448.6723669
94,0.0,-5079264380.725712,-290662905.0783299
95,0.0,-3719769607.512484,202929222.60279167
96,0.0,0.0,1786439087.1571681
97,0.0,-4776563732.834672,-3074736692.1598816
98,0.0,-4776563732.834672,-2058571156.872403
99,0.0,-4964056153.701974,-522701853.9088777
100,0.0,-5034362776.997661,374624582.77348685
101,0.0,-3684613107.18627,291352635.9168213
102,0.0,0.0,621060914.6673672
103,0.0,-4776563732.834672,-3468358883.2075896
104,0.0,-4776563732.834672,-3137828904.5674458
105,-1226201176.204127,0.0,-1455891788.7776597
106,0.0,-4999209447.732804,111805063.89334312
107,0.0,-3649459813.155438,587340037.8639133
108,0.0,0.0,814933004.1396592
109,0.0,-4776563732.834672,-2037680265.4923947
110,0.0,-4776563732.834672,-1740708894.1521277
111,0.0,-4964056153.701974,-975189377.186888
112,-1226201176.204127,0.0,-285779848.80210227
113,0.0,0.0,811459278.5465858
114,0.0,-4776563732.834672,-1418387191.833873
115,0.0,-4776563732.834672,-1676898890.7217712
116,0.0,0.0,-1237526181.0789468
117,0.0,0.0,-776598932.455993
118,0.0,0.0,243670978.16573232
119,0.0,0.0,-1192675368.622792
120,0.0,0.0,1729574840.767624
121,0.0,0.0,-2373315375.816503
122,0.0,-2902059174.5941873,-1081782874.651412
123,0.0,-4776563732.834672,-1944062791.0056643
124,0.0,-4509016363.661058,-1848326637.2159724
125,0.0,-4438709352.791208,-1674758377.7698176
126,-1226201176.204127,0.0,-1975135133.6648753
127,0.0,-2902059174.5941873,-616286124.3963432
128,0.0,-4776563732.834672,-1466078650.3695416
129,0.0,-4553918229.340634,-1703391799.985264
130,0.0,-4473862858.226133,-1520263616.7677405
131,0.0,-2993239211.6921244,-1654307695.5336354
132,0.0,0.0,-904199953.6893178
133,0.0,-4776563732.834672,-3138212365.0929933
134,0.0,-4776563732.834672,-2486628842.5227375
135,0.0,-4589071840.477601,-1456868879.5746355
136,0.0,-4518764688.6717005,-993556053.2299372
137,0.0,-3028395500.6142454,-1482634330.6876798
138,0.0,0.0,-1322281512.0365405
139,0.0,-4776563732.834672,-3299068626.3010178
140,-1226201176.204127,0.0,-2080586461.52912
141,0.0,-4553918229.340634,-1233527304.2449858
142,0.0,-3063549006.0491724,-1505527311.8768823
143,0.0,0.0,-1537661589.22477
144,0.0,-4776563732.834672,-2120387110.2696934
145,0.0,-4776563732.834672,-2078016932.0911367
146,0.0,-4589071840.477601,-1914716737.9673128
147,-1226201176.204127,0.0,-2238771144.4155655
148,0.0,0.0,-2006815872.9627447
149,0.0,-4776563732.834672,-1511856049.564354
150,0.0,-4776563732.834672,-2032168522.2269366
151,0.0,0.0,-1818306389.171626
152,0.0,0.0,-2077218761.0571535
153,0.0,0.0,-86486627.67706454
154,0.0,0.0,-1841246895.845914
155,0.0,0.0,1140833690.8294578
