# # # Calculated from slews 2024-11-12T23:30:00.000 - 2024-11-13T00:30:00.000
# # Updated with slews 2024-11-23T18:07:00.000 - 2024-11-23T18:29:00.000
# Updated with slews 2024-11-28T21:18:00.000 - 2024-11-28T21:30:00.000
ID,X,Y,Z
0,0.0,0.0,46477330.78625567
1,0.0,1526208441.078457,191769840.62923303
2,0.0,2506895162.779867,188350430.08546108
3,0.0,2358818045.675359,266471911.11589122
4,0.0,2323279273.2791185,516489412.36818796
5,0.0,0.0,849009056.8981723
6,0.0,0.0,-1045368486.0166197
7,0.0,1526208441.078457,-249244588.4091027
8,0.0,2512020413.7191353,-428706918.0725632
9,0.0,2376586728.4030805,-325780383.64987063
10,0.0,2341049362.9476366,36552599.99092818
11,666546657.9794548,0.0,444508099.65379494
12,0.0,1526208441.078457,-494820217.8619154
13,0.0,1526208441.078457,-231647194.49802855
14,0.0,2512020413.7191353,-272048380.3541176
15,0.0,2399482069.010866,-219207525.86569896
16,0.0,2358818045.675359,-24177373.856400106
17,0.0,1581587675.6006026,195349602.93967536
18,0.0,0.0,920330771.918813
19,0.0,2512020413.7191353,-1362589583.2700105
20,0.0,2512020413.7191353,-821127373.2665204
21,0.0,2417250805.16672,-87542738.5498396
22,0.0,2381713368.4737716,299126099.9433978
23,0.0,1599357765.26912,246902737.48623282
24,0.0,0.0,316083895.4418253
25,0.0,2512020413.7191353,-1526142118.0305886
26,0.0,2512020413.7191353,-1351443813.856716
27,666546657.9794548,0.0,-522894903.7568189
28,0.0,2399482069.010866,196979358.35173187
29,0.0,1617126447.9968414,401846738.8876757
30,0.0,0.0,439909699.4844121
31,0.0,2512020413.7191353,-917557669.8748833
32,0.0,2512020413.7191353,-713401143.1321913
33,0.0,2417250805.16672,-311548781.49925303
34,666546657.9794548,0.0,23110189.39809664
35,0.0,0.0,473961670.64890623
36,0.0,2512020413.7191353,-501378893.5124553
37,0.0,2512020413.7191353,-608492690.8740017
38,0.0,0.0,-470627894.8976025
39,0.0,0.0,-290963359.29030824
40,0.0,0.0,386392065.66274154
41,0.0,0.0,-321892153.55455506
42,0.0,0.0,926784076.8961983
43,0.0,0.0,-1071563755.2940767
44,0.0,1526208441.078457,-534008580.8736553
45,0.0,2512020413.7191353,-868876294.3111085
46,0.0,2647454082.33723,-816426906.3117144
47,0.0,2682991234.080149,-716230089.2510902
48,666546657.9794548,0.0,-827820134.518557
49,0.0,1526208441.078457,-342266724.54924047
50,0.0,2512020413.7191353,-673720843.1534626
51,0.0,2624558865.283669,-792282399.1532521
52,0.0,2665222658.2086887,-680020228.8472513
53,0.0,1948819561.458365,-651969829.1468319
54,0.0,0.0,-464728303.41744184
