# # # Calculated from slews 2024-11-12T23:30:00.000 - 2024-11-13T00:30:00.000
# # Updated with slews 2024-11-23T18:07:00.000 - 2024-11-23T18:29:00.000
# Updated with slews 2024-11-28T21:18:00.000 - 2024-11-28T21:30:00.000
ID,X,Y,Z
0,0.0,0.0,-1601178.5964701609
1,0.0,-143220694.58387163,-15167031.63897892
2,0.0,-235249168.33022764,-12854379.319391211
3,0.0,-218326260.52238965,-18933501.964999143
4,0.0,-214264732.44414693,-42407105.02801781
5,0.0,0.0,-76057187.44729532
6,0.0,0.0,96525885.60856687
7,0.0,-143220694.58387163,25849287.028146416
8,0.0,-235730126.22541478,41469660.992077336
9,0.0,-220356944.1658027,33415193.331959642
10,0.0,-216295576.87897584,1021110.4491371426
11,-72108865.3398188,0.0,-37639497.46036663
12,0.0,-143220694.58387163,52561165.219655626
13,0.0,-143220694.58387163,26649595.024916116
14,0.0,-235730126.22541478,27508230.959396794
15,0.0,-222868746.49582118,22750417.84824235
16,0.0,-218326260.52238965,6272241.868931029
17,0.0,-144663763.84284863,-13960811.166833382
18,0.0,0.0,-87546311.7378349
19,0.0,-235730126.22541478,127408182.68216477
20,0.0,-235730126.22541478,76560545.15854204
21,0.0,-224899436.24523753,9860661.657483805
22,0.0,-220838060.8170731,-24238828.21135453
23,0.0,-146694608.277678,-19231167.418408263
24,0.0,0.0,-25190484.25522891
25,0.0,-235730126.22541478,143899034.68655977
26,0.0,-235730126.22541478,126178114.73932113
27,-72108865.3398188,0.0,50034631.651594475
28,0.0,-222868746.49582118,-15736196.198192824
29,0.0,-148725291.9210913,-35196777.81567208
30,0.0,0.0,-38855391.8840387
31,0.0,-235730126.22541478,89052466.53041469
32,0.0,-235730126.22541478,69223944.25849585
33,0.0,-224899436.24523753,31208382.550761193
34,-72108865.3398188,0.0,-1658529.002119136
35,0.0,0.0,-45267812.74648494
36,0.0,-235730126.22541478,48203959.396277934
37,0.0,-235730126.22541478,57454410.523227185
38,0.0,0.0,45088425.88296572
39,0.0,0.0,27460180.267153166
40,0.0,0.0,-37894087.519744806
41,0.0,0.0,27113392.24477203
42,0.0,0.0,-84053357.9168026
43,0.0,0.0,98942429.41524248
44,0.0,-143220694.58387163,53596249.958087504
45,0.0,-235730126.22541478,82917362.26134856
46,0.0,-251103311.08712363,77082924.4609818
47,0.0,-255164653.94993633,68611031.97427617
48,-72108865.3398188,0.0,81265422.57817021
49,0.0,-143220694.58387163,36697804.36131061
50,0.0,-235730126.22541478,65879134.36551189
51,0.0,-248591518.1670159,76371638.58117881
52,0.0,-253133982.51853064,65525204.787402116
53,0.0,-186632647.8270162,62650515.61830443
54,0.0,0.0,49729640.15011449
55,0.0,-235730126.22541478,127918437.57055642
56,0.0,-235730126.22541478,97554332.15491197
57,0.0,-246560846.73560816,62003777.75358604
58,0.0,-250622191.63375753,44465697.263308235
59,0.0,-184601791.18017977,51315871.51417488
60,0.0,0.0,36736577.489927925
61,0.0,-235730126.22541478,131489195.52289198
62,-72108865.3398188,0.0,81820274.11951335
63,0.0,-248591518.1670159,48389464.931770824
64,0.0,-182571119.74877256,50261365.18256294
65,0.0,0.0,38804587.20808771
66,0.0,-235730126.22541478,89430319.43141723
67,0.0,-235730126.22541478,81523382.3410281
68,0.0,-246560846.73560816,69560752.50059544
69,-72108865.3398188,0.0,73941266.50174706
70,0.0,0.0,61516985.38455165
71,0.0,-235730126.22541478,50247479.118062
72,0.0,-235730126.22541478,78365242.50086746
73,0.0,0.0,63488142.83315579
74,0.0,0.0,63995475.58315263
75,0.0,0.0,-24251212.125770357
76,0.0,0.0,50892971.24366647
77,0.0,0.0,-56072354.96698263
78,0.0,0.0,8229530.112443071
79,0.0,-143220694.58387163,22277649.21332793
80,0.0,-236211062.49868608,20575451.348514274
81,0.0,-253133982.51853064,27588055.31927262
82,0.0,-257195510.59677354,53032809.644705325
83,0.0,0.0,83628175.17459358
84,0.0,0.0,-96115068.70714746
85,0.0,-143220694.58387163,-20840004.381698087
86,0.0,-235730126.22541478,-36052194.32578144
87,0.0,-251103311.08712363,-29438721.98492816
88,0.0,-255164653.94993633,6202891.841490225
89,-72108865.3398188,0.0,49436454.6575716
90,0.0,-143220694.58387163,-42485765.47034637
91,0.0,-143220694.58387163,-20978298.27895218
92,0.0,-235730126.22541478,-22144183.24611777
93,0.0,-248591518.1670159,-20122487.11504838
94,0.0,-253133982.51853064,-1488787.8232321565
95,0.0,-186632647.8270162,26072307.75572493
96,0.0,0.0,92908744.45423728
97,0.0,-235730126.22541478,-117949584.63711284
98,0.0,-235730126.22541478,-70632584.23094156
99,0.0,-246560846.73560816,-6958942.655929495
100,0.0,-250622191.63375753,29481082.42915545
101,0.0,-184601791.18017977,33029853.379190166
102,0.0,0.0,43180238.13617654
103,0.0,-235730126.22541478,-130648514.72662173
104,0.0,-235730126.22541478,-118414948.3586415
105,-72108865.3398188,0.0,-45430309.11685911
106,0.0,-248591518.1670159,23302613.321099266
107,0.0,-182571119.74877256,51994225.17230696
108,0.0,0.0,60487008.017122015
109,0.0,-235730126.22541478,-79646089.22931293
110,0.0,-235730126.22541478,-61139544.062808245
111,0.0,-246560846.73560816,-20320844.21736228
112,-72108865.3398188,0.0,21701224.138677467
113,0.0,0.0,68561342.92902799
114,0.0,-235730126.22541478,-37517599.22142906
115,0.0,-235730126.22541478,-45608277.194336504
116,0.0,0.0,-36712748.71595456
117,0.0,0.0,-5811781.235720929
118,0.0,0.0,47710689.68579359
119,0.0,0.0,-16270135.63494305
120,0.0,0.0,85522519.52577531
121,0.0,0.0,-87812868.39599136
122,0.0,-143220694.58387163,-45402168.56263094
123,0.0,-235730126.22541478,-71998934.93836008
124,0.0,-220356944.1658027,-63531455.711486585
125,0.0,-216295576.87897584,-56234320.01372643
126,-72108865.3398188,0.0,-70358922.09228083
127,0.0,-143220694.58387163,-28901827.4001104
128,0.0,-235730126.22541478,-55126279.47895439
129,0.0,-222868746.49582118,-59772629.76656643
130,0.0,-218326260.52238965,-50319828.495562874
131,0.0,-144663763.84284863,-53442790.408636495
132,0.0,0.0,-42812185.87310066
133,0.0,-235730126.22541478,-118801648.79465306
134,0.0,-235730126.22541478,-87823968.87680028
135,0.0,-224899436.24523753,-47292662.50193044
136,0.0,-220838060.8170731,-29575304.659977414
137,0.0,-146694608.277678,-44292206.107346505
138,0.0,0.0,-39541495.97438561
139,0.0,-235730126.22541478,-121782804.4481036
140,-72108865.3398188,0.0,-70099689.73308311
141,0.0,-222868746.49582118,-36689194.26260843
142,0.0,-148725291.9210913,-45688607.31712933
143,0.0,0.0,-48015106.440003425
144,0.0,-235730126.22541478,-80772683.32086542
145,0.0,-235730126.22541478,-71852506.00904296
146,0.0,-224899436.24523753,-60030862.22458312
147,-72108865.3398188,0.0,-70293975.86375995
148,0.0,0.0,-69343371.6963198
149,0.0,-235730126.22541478,-41061924.1846109
150,0.0,-235730126.22541478,-59305005.32978329
151,0.0,0.0,-58211330.36965465
152,0.0,0.0,-63971543.56024635
153,0.0,0.0,31848741.914192647
154,0.0,0.0,-45733209.22508427
155,0.0,0.0,57336452.46850977
