Nozzle, Nozzle type (SUPER_SHORT|BLOCKED|OFFSET|INSTALLED|COVERED), Orifice diameter
A1, INSTALLED,0.5
A2, INSTALLED,1
A3, OFFSET,1
A4, BLOCKED,0
A5, INSTALLED,0.5
A6, INSTALLED,0.5
A7, INSTALLED,1
A8, INSTALLED,1
A9, OFFSET,1
A10, BLOCKED,1
A11, INSTALLED,1
A12, INSTALLED,1
A13, INSTALLED,1
A14, INSTALLED,1
A15, INSTALLED,1
A16, INSTALLED,1
A17, INSTALLED,1
A18, INSTALLED,1
A19, INSTALLED,1
A20, INSTALLED,0.5
A21, INSTALLED,0.5
A22, INSTALLED,0.5
A23, INSTALLED,0.5
A24, INSTALLED,0.5
A25, INSTALLED,1
A26, INSTALLED,1
A27, INSTALLED,1
A28, INSTALLED,1
A29, INSTALLED,1
A30, INSTALLED,1
A31, INSTALLED,1
A32, INSTALLED,1
A33, OFFSET,1
A34, COVERED,0
A35, OFFSET,1
A36, INSTALLED,1
A37, INSTALLED,1
A38, OFFSET,1
A39, INSTALLED,0.5
A40, INSTALLED,0.5
A41, INSTALLED,1
A42, INSTALLED,0.5
A43, INSTALLED,0.5
A44, INSTALLED,1
A45, INSTALLED,1
A46, INSTALLED,1
A47, INSTALLED,1
A48, INSTALLED,1
A49, INSTALLED,1
A50, INSTALLED,1
A51, INSTALLED,1
A52, INSTALLED,1
A53, INSTALLED,1
A54, INSTALLED,1
A55, INSTALLED,1
A56, INSTALLED,1
A57, OFFSET,1
A58, OFFSET,1
A59, OFFSET,1
A60, INSTALLED,1
A61, INSTALLED,1
A62, INSTALLED,0.5
A63, OFFSET,1
A64, COVERED,0
A65, OFFSET,1
A66, INSTALLED,1
A67, INSTALLED,1
A68, INSTALLED,1
A69, OFFSET,1
A70, SUPER_SHORT,0
A71, OFFSET,1
A72, INSTALLED,1
A73, INSTALLED,1
A74, INSTALLED,1
A75, INSTALLED,1
A76, INSTALLED,1
A77, INSTALLED,1
A78, INSTALLED,0.5
A79, INSTALLED,0.5
A80, INSTALLED,1
A81, INSTALLED,0.5
A82, INSTALLED,0.5
A83, INSTALLED,1
A84, INSTALLED,1
A85, INSTALLED,1
A86, INSTALLED,1
A87, INSTALLED,1
A88, INSTALLED,1
A89, INSTALLED,1
A90, INSTALLED,1
A91, INSTALLED,1
A92, INSTALLED,1
A93, INSTALLED,1
A94, INSTALLED,1
A95, INSTALLED,1
A96, INSTALLED,1
A97, INSTALLED,0.5
A98, OFFSET,1
A99, COVERED,0
A100, OFFSET,1
A101, INSTALLED,1
A102, INSTALLED,1
A103, INSTALLED,1
A104, OFFSET,1
A105, COVERED,0
A106, OFFSET,1
A107, INSTALLED,1
A108, INSTALLED,1
A109, INSTALLED,1
A110, OFFSET,1
A111, COVERED,0
A112, OFFSET,1
A113, INSTALLED,1
A114, INSTALLED,0.5
A115, INSTALLED,1
A116, INSTALLED,1
A117, INSTALLED,1
A118, INSTALLED,1
A119, INSTALLED,1
A120, INSTALLED,1
A121, INSTALLED,1
A122, INSTALLED,1
A123, INSTALLED,1
A124, INSTALLED,1
A125, INSTALLED,1
A126, INSTALLED,1
A127, INSTALLED,1
A128, INSTALLED,1
A129, INSTALLED,1
A130, OFFSET,1
A131, INSTALLED,1
A132, INSTALLED,1
A133, INSTALLED,1
A134, OFFSET,1
A135, COVERED,0
A136, OFFSET,1
A137, INSTALLED,1
A138, INSTALLED,1
A139, INSTALLED,1
A140, OFFSET,1
A141, COVERED,0
A142, OFFSET,1
A143, INSTALLED,1
A144, INSTALLED,1
A145, INSTALLED,1
A146, INSTALLED,1
A147, OFFSET,1
A148, INSTALLED,1
A149, INSTALLED,1
A150, INSTALLED,1
A151, INSTALLED,1
A152, INSTALLED,1
A153, INSTALLED,1
A154, INSTALLED,1
A155, INSTALLED,1
A156, INSTALLED,1
A157, OFFSET,1
A158, INSTALLED,1
A159, INSTALLED,1
A160, INSTALLED,1
A161, INSTALLED,1
A162, INSTALLED,1
A163, INSTALLED,1
A164, COVERED,0
A165, COVERED,0
A166, INSTALLED,1
A167, INSTALLED,1
A168, INSTALLED,1
A169, INSTALLED,1
A170, COVERED,0
A171, COVERED,0
A172, INSTALLED,1
A173, OFFSET,1
A174, INSTALLED,1
A175, OFFSET,1
A176, OFFSET,1
A177, OFFSET,1
A178, OFFSET,1
A179, INSTALLED,1
A180, INSTALLED,1
A181, INSTALLED,1
A182, INSTALLED,1
A183, INSTALLED,1
A184, INSTALLED,1
A185, OFFSET,1
A186, INSTALLED,1
A187, INSTALLED,1
A188, INSTALLED,1
A189, INSTALLED,1
A190, INSTALLED,1
A191, INSTALLED,1
A192, OFFSET,1
A193, INSTALLED,1
A194, COVERED,0
A195, SUPER_SHORT,0
A196, OFFSET,1
A197, INSTALLED,1
A198, INSTALLED,1
A199, INSTALLED,1
A200, INSTALLED,1
A201, OFFSET,1
A202, COVERED,0
A203, OFFSET,1
A204, INSTALLED,1
A205, INSTALLED,1
A206, INSTALLED,1
A207, INSTALLED,1
A208, INSTALLED,1
A209, INSTALLED,1
A210, INSTALLED,1
A211, INSTALLED,1
A212, INSTALLED,1
A213, INSTALLED,1
A214, INSTALLED,1
A215, INSTALLED,1
A216, INSTALLED,1
A217, OFFSET,1
A218, INSTALLED,1
A219, INSTALLED,1
A220, INSTALLED,1
A221, OFFSET,1
A222, COVERED,0
A223, COVERED,0
A224, INSTALLED,1
A225, INSTALLED,1
A226, INSTALLED,1
A227, INSTALLED,1
A228, OFFSET,1
A229, INSTALLED,1
A230, INSTALLED,1
A231, INSTALLED,1
A232, INSTALLED,1
A233, INSTALLED,1
A234, INSTALLED,1
A235, INSTALLED,1
A236, INSTALLED,1
A237, INSTALLED,1
A238, INSTALLED,1
A239, SUPER_SHORT,0
A240, OFFSET,1
A241, INSTALLED,1
A242, INSTALLED,1
A243, INSTALLED,1
A244, INSTALLED,1
A245, COVERED,0
A246, INSTALLED,1
A247, INSTALLED,1
A248, INSTALLED,1
A249, INSTALLED,1
A250, INSTALLED,1
A251, INSTALLED,1
A252, INSTALLED,1
A253, INSTALLED,1
A254, OFFSET,1
A255, INSTALLED,1
A256, INSTALLED,1
A257, OFFSET,1
A258, COVERED,0
A259, COVERED,0
A260, OFFSET,1
A261, OFFSET,1
A262, INSTALLED,1
A263, INSTALLED,1
A264, INSTALLED,1
A265, INSTALLED,1
A266, INSTALLED,1
A267, INSTALLED,1
A268, OFFSET,1
A269, INSTALLED,1
A270, INSTALLED,1
A271, INSTALLED,1
A272, INSTALLED,1
A273, COVERED,0
A274, OFFSET,1
A275, OFFSET,1
B1, INSTALLED,0.5
B2, INSTALLED,0.5
B3, INSTALLED,0.5
B4, INSTALLED,0.5
B5, COVERED,0
B6, INSTALLED,0.5
B7, OFFSET,1
B8, INSTALLED,1
B9, INSTALLED,1
B10, INSTALLED,1
B11, OFFSET,1
B12, INSTALLED,1
B13, OFFSET,1
B14, INSTALLED,1
B15, INSTALLED,1
B16, INSTALLED,1
B17, COVERED,0
B18, INSTALLED,1
B19, INSTALLED,1
B20, OFFSET,1
B21, INSTALLED,0.5
B22, INSTALLED,1
B23, SUPER_SHORT,0
B24, INSTALLED,0.5
B25, INSTALLED,1
B26, INSTALLED,1
B27, INSTALLED,1
B28, INSTALLED,1
B29, COVERED,0
B30, INSTALLED,1
B31, INSTALLED,1
B32, INSTALLED,1
B33, INSTALLED,1
B34, INSTALLED,1
B35, COVERED,0
B36, INSTALLED,1
B37, INSTALLED,1
B38, INSTALLED,1
B39, INSTALLED,0.5
B40, OFFSET,1
B41, INSTALLED,0.5
B42, OFFSET,1
B43, INSTALLED,0.5
B44, INSTALLED,1
B45, INSTALLED,1
B46, OFFSET,1
B47, INSTALLED,1
B48, OFFSET,1
B49, INSTALLED,1
B50, INSTALLED,1
B51, INSTALLED,1
B52, COVERED,0
B53, INSTALLED,1
B54, OFFSET,1
B55, INSTALLED,1
B56, INSTALLED,1
B57, OFFSET,1
B58, INSTALLED,0.5
B59, OFFSET,0.5
B60, INSTALLED,0.5
B61, INSTALLED,0.5
B62, INSTALLED,0.5
B63, INSTALLED,1
B64, INSTALLED,1
B65, COVERED,0
B66, INSTALLED,1
B67, INSTALLED,1
B68, INSTALLED,1
B69, INSTALLED,1
B70, INSTALLED,1
B71, COVERED,0
B72, INSTALLED,1
B73, INSTALLED,1
B74, INSTALLED,1
B75, INSTALLED,1
B76, COVERED,0
B77, OFFSET,1
B78, INSTALLED,0.5
B79, INSTALLED,0.5
B80, INSTALLED,0.5
B81, INSTALLED,1
B82, OFFSET,1
B83, INSTALLED,1
B84, OFFSET,1
B85, INSTALLED,1
B86, INSTALLED,1
B87, INSTALLED,1
B88, COVERED,0
B89, INSTALLED,1
B90, OFFSET,1
B91, INSTALLED,1
B92, INSTALLED,1
B93, INSTALLED,1
B94, OFFSET,1
B95, INSTALLED,1
B96, INSTALLED,1
B97, INSTALLED,0.5
B98, INSTALLED,0.5
B99, INSTALLED,1
B100, COVERED,0
B101, INSTALLED,1
B102, INSTALLED,1
B103, INSTALLED,1
B104, INSTALLED,1
B105, INSTALLED,1
B106, SUPER_SHORT,0
B107, INSTALLED,1
B108, INSTALLED,1
B109, INSTALLED,1
B110, OFFSET,1
B111, INSTALLED,1
B112, COVERED,0
B113, INSTALLED,1
B114, COVERED,0
B115, INSTALLED,0.5
B116, OFFSET,1
B117, INSTALLED,1
B118, INSTALLED,1
B119, INSTALLED,1
B120, OFFSET,1
B121, INSTALLED,1
B122, OFFSET,1
B123, INSTALLED,1
B124, INSTALLED,1
B125, INSTALLED,1
B126, COVERED,0
B127, INSTALLED,1
B128, OFFSET,1
B129, INSTALLED,1
B130, OFFSET,1
B131, INSTALLED,0.5
B132, INSTALLED,1
B133, INSTALLED,1
B134, INSTALLED,1
B135, INSTALLED,1
B136, COVERED,0
B137, INSTALLED,1
B138, INSTALLED,1
B139, INSTALLED,1
B140, INSTALLED,1
B141, INSTALLED,1
B142, OFFSET,1
B143, INSTALLED,1
B144, INSTALLED,1
B145, INSTALLED,1
B146, INSTALLED,1
B147, OFFSET,1
B148, INSTALLED,1
B149, INSTALLED,1
B150, OFFSET,1
B151, INSTALLED,1
B152, OFFSET,1
B153, INSTALLED,1
B154, INSTALLED,1
B155, INSTALLED,1
B156, OFFSET,1
B157, INSTALLED,1
B158, INSTALLED,1
B159, INSTALLED,1
B160, INSTALLED,1
B161, INSTALLED,1
B162, COVERED,0
B163, INSTALLED,1
B164, INSTALLED,1
B165, COVERED,0
B166, INSTALLED,1
